Reaction,MinFlux,MaxFlux
AD_ALAGLNNaEx,0,1000
AD_ALASERNaEx,0,1000
AD_ALASm,0,1000
AD_ALAt4,0,1000
AD_ALATA_L,-310.579332276926,-310.57420076558
AD_ALATHRNaEx,0,1000
AD_ALCD21_D,0,1000
AD_ALCD21_L,0,1000
AD_ALCD22_D,0,1000
AD_ALCD22_L,0,1000
AD_ALDD20x,0,8.34760069210461e-05
AD_ALDD20xm,0,5.89183706551921e-05
AD_ALDD21,0,0.000700507864166866
AD_ALDD2xm,0,0.00078739044004476
AD_ALDD2y,0,0.000787388275512058
AD_ALOX5,0,7.51101801341747e-05
AD_ALOX52,0,337.664545194705
AD_ALR2,0,1000
AD_ALR3,0,1000
AD_AMACR2p,278.775547192373,278.777025014531
AD_AMETr,0,0.000238180130935461
AD_AMETt2m,0,5.01605800309335e-05
AD_AMPDA,253.903628860793,253.905694435003
AD_AOBUTDsm,754.21966525035,754.222649785727
AD_APOCF,0,6.11336976514091e-05
AD_APOCFm,0,9.35273535560555e-05
AD_APOC_LYS_BTNP,0,6.11336976514091e-05
AD_APOC_LYS_BTNPm,0,9.35273535560555e-05
AD_APRTO2,0,7.31629777392939e-05
AD_ARACHCPT1,-3.4832493668091e-05,4.38680333919213e-05
AD_ARACHCPT2,-3.48324910798207e-05,4.3867945777265e-05
AD_ARACHCRNt,-1000,1000
AD_ARACHDt2,-6.29207284106315e-05,7.80556106860786e-05
AD_ARACHDtr,0,6.38856351191132e-05
AD_ARACHt,0,4.23109880891559e-05
AD_ARGLYSex,0,1000
AD_ARGSS,0,5.10972046470215e-05
AD_ARSA,0,2.29539964898273e-05
AD_R_group_phosphotase_1,2.20593834583472,2.2060039375225
AD_R_group_phosphotase_2,0.315187683819171,0.315257777352258
AD_R_group_phosphotase_3,30.5674509845555,30.5675247472987
AD_ARTPLM3,0,0.00185424860596939
AD_ARTPLM3m,30.5656263274738,30.5674815778758
AD_ASAH1,0,2.95868159572938e-05
AD_ASCBt,-1000,1000
AD_ASCBt4,-1000,1000
AD_ASNALANaEx,0,1000
AD_ASNCYSNaEx,0,1000
AD_ASNGLNNaEx,0,1000
AD_ASNSERNaEx,0,1000
AD_ASNTHRNaEx,0,1000
AD_ASPDt6,0,1000
AD_ASPt6,0,1000
AD_ATP1ter,0,3.8167483126017e-05
AD_ATP2ter,2.20593834821589,2.20601109758616
AD_ATPH1e,0,31.8451674891229
AD_ATPH2e,0,31.8451674891354
AD_ATPtm,999.999811132628,1000
AD_B3GALT3g,0,9.79430816069485e-06
AD_B3GALT41g,0,9.33311430039461e-06
AD_B3GALT5g,0,8.8171568203658e-06
AD_BAAT3x,278.775547192372,278.777025014531
AD_BACCL,0,6.11336976514091e-05
AD_BACCLm,0,9.35273535560555e-05
AD_BAMPPALDOX,0,2.28479788457747e-05
AD_BHMT,9.99995055354371,10
AD_BILDGLCURte,0,3.65206583268218e-05
AD_BILGLCURtr,0,0.000311536221715869
AD_BILIRED,0,4.86413972426252e-06
AD_BILIRUBt2,-4.87744038740287e-06,0
AD_BILIRUBtr,-0.000308769294179001,0
AD_BIOCYTtn,0,6.06309077824108e-05
AD_BMTer_U,0,1.99777584048988e-05
AD_BTND1,0,6.29207250268937e-05
AD_BTND1n,0,6.06309077824108e-05
AD_BTNDm,0,9.35273535560555e-05
AD_BTNPL,0,6.11336976514091e-05
AD_BTNPLm,0,9.35273535560555e-05
AD_BTNt2,-1000,0
AD_BTNt3i,0,3.6726380926666e-05
AD_BTNt4i,0,1000
AD_BTNtn,-6.06309077824108e-05,0
AD_C14STRr,0,4.40432759774012e-06
AD_C160CRNt,-1000,1000
AD_C161CPT12,0,6.05222372414005e-05
AD_C161CPT2,0,0.000698433507494656
AD_C161CPT22,-0.000224045354116242,0.000943627144096126
AD_C161CRN2t,-1000,1000
AD_C161CRNt,0,0.000698433507494656
AD_C180CPT1,218.939009692471,218.941633130385
AD_C180CPT2,218.939021255663,218.941652924845
AD_C180CRNt,-781.060990161222,1000
AD_C181CRNt,-1000,1000
AD_C204CPT2,0,2.57836173050343e-05
AD_C204CRNt,-1000,1000
AD_C226CPT1,147.698332253457,147.716847837605
AD_C226CPT2,147.698442123351,147.716847844773
AD_C226CRNt,-852.301634907515,1000
AD_C3STDH1Pr,0,4.44928586498893e-06
AD_C3STKR2r,0,4.39172166265808e-06
AD_C4STMO1r,0,4.33406104021035e-06
AD_C4STMO2Pr,0,4.40431924926586e-06
AD_C4STMO2r,0,4.42290954983428e-06
AD_CAATPS,0,3.67052606407015e-05
AD_CAt7r,-1000,1000
AD_CATm,0,0.000616016943212117
AD_CATp,503.091586606276,503.094549879576
AD_CBPPer,0,1.561189673982e-05
AD_CBPter,0,1.561189673982e-05
AD_CBR2,0,1000
AD_CDIPTr,-0.693725692224423,-0.691222973240385
AD_CDPDAGtm,-0.884428306225914,-0.881946578715636
AD_CDSm,2.1425017994507,2.14500455342903
AD_CEPTC,0,6.25720319504808e-05
AD_CEPTE,50.7055907757722,50.7058769750347
AD_CERK,0,3.66188143630097e-05
AD_CERT1gt,0,5.43596536672908e-05
AD_CERT1rt,0,5.36636373604793e-05
AD_CERT2gt,0,1000
AD_CERT2rt,0,8.88802007716295e-06
AD_CGLYt3_2_,647.696847185799,1000
AD_CHLP,0,2.26958469511374e-05
AD_CHLPCTD,0,6.11688204799066e-05
AD_CHOLPtg,-23.2897321727897,0
AD_CHSTEROLt1,-997.794061613663,1000
AD_CHSTEROLt2,-1000,997.794061613663
AD_CHSTEROLtg,0,3.65790627938622e-05
AD_CITtam,-1000,1000
AD_CITtbm,0,1000
AD_CKc,0,5.14222845637846e-05
AD_CLOXAtex2,0,1000
AD_CLPNDCOAtx,0,3.98043607875431e-05
AD_CLPNDCPT1,0,3.24493036108227e-05
AD_CLPNDCPT2,0,3.30645517908946e-05
AD_CLPNDCRNt,-1000,1000
AD_CLS_hs,0,0.000181541742689806
AD_CMPACNAtg,0,1.8477614389667e-05
AD_CMPSAS,0,6.23446157366203e-05
AD_CO2ter,-0.000180278190587809,0
AD_COAtl,0,3.64125688747663e-05
AD_COAtm,-1000,1000
AD_COAtp,-1000,-723.693040771561
AD_COAtr,-1000,1000
AD_COQ3m,0,2.02518964783111e-06
AD_COQ5m,0,2.02518964783111e-06
AD_COQ6m,0,2.02518964783111e-06
AD_COQ7m,0,2.02518964783111e-06
AD_CORE2GTg,0,1.96334439890338e-06
AD_CORE3GTg,0,1.81099470792785e-06
AD_CORE4GTg,0,1.81099470792785e-06
AD_COt,0,4.8641395553109e-06
AD_COUCOAFm,0,2.02519076178945e-06
AD_CREATt4_2_r,-1000,1000
AD_CRNCARtp,0,1000
AD_CRNtim,-1000,1000
AD_CRNtx,-1000,1000
AD_CRTSLtr,-1000,0
AD_CSAPASEly,0,2.81627741344785e-06
AD_CSBPASEly,0,2.51279698554329e-06
AD_CSCPASEly,0,2.84035349874433e-06
AD_CSDPASEly,0,2.27606244607159e-06
AD_CSEPASEly,0,2.0697580301506e-06
AD_CSm,109.475234728619,109.476355305267
AD_CSNAT2m,39.8250783205111,39.8252910328644
AD_CSNAT2x,-1000,1000
AD_CSNAT3x,39.8250782417934,39.8252909819859
AD_CSNATer,-1000,1000
AD_CSNATm,-1000,-999.998126973359
AD_CSNATp,-1000,-999.998125086297
AD_CSNATr,-1000,1000
AD_CSPG_At,0,2.81627741344785e-06
AD_CSPG_Atly,0,2.81627741344785e-06
AD_CSPG_Bt,0,2.51279698554329e-06
AD_CSPG_Btly,0,2.51279698554329e-06
AD_CSPG_Ct,0,2.84035349874433e-06
AD_CSPG_Ctly,0,2.84035349874433e-06
AD_CSPG_Dt,0,2.27606244607159e-06
AD_CSPG_Dtly,0,2.27606244607159e-06
AD_CSPG_Et,0,2.0697580301506e-06
AD_CSPG_Etly,0,2.0697580301506e-06
AD_CYSALANaEx,0,1000
AD_CYSASNNaEx,0,1000
AD_CYSGLNNaEx,0,1000
AD_CYSGLTH,-1000,1000
AD_CYSO,0,0.000168206080275013
AD_CYSSERNaEx,0,1000
AD_CYSTA,0,0.000129419574648182
AD_CYStec,-1000,1000
AD_CYSTHRNaEx,0,1000
AD_CYTD,0,3.64336024745171e-05
AD_CYTDK1,0,999.118068110625
AD_CYTDK2m,0.881946815170181,0.884428306272071
AD_CYTDt,-1000,1000
AD_CYTDtl,0,3.67844367685777e-05
AD_CYTDtm,0.881946815170181,0.884428306272071
AD_CYTK10,-1000,1000
AD_CYTK10n,-1000,1000
AD_CYTK11,-1000,1000
AD_CYTK11n,-1000,1000
AD_CYTK12,-1000,1000
AD_CYTK12n,-1000,1000
AD_CYTK13,-1000,1000
AD_CYTK13n,-1000,1000
AD_CYTK14,-1000,1000
AD_CYTK14n,-1000,1000
AD_CYTK1m,2.1425017994507,2.14500455342903
AD_CYTK1n,-1000,1000
AD_CYTK2n,-1000,1000
AD_CYTK3n,-1000,1000
AD_CYTK4n,-1000,1000
AD_CYTK5,-1000,1000
AD_CYTK5n,-1000,1000
AD_CYTK6,-1000,1000
AD_CYTK6n,-1000,1000
AD_CYTK7,-1000,1000
AD_CYTK7n,-1000,1000
AD_CYTK8,-1000,1000
AD_CYTK8n,-1000,1000
AD_CYTK9,-1000,1000
AD_CYTK9n,-1000,1000
AD_DAG_HSter,0,4.02495504872036e-05
AD_DAGK_hs,5.04202443822073,5.04209892382823
AD_DAGKn_hs,0,1.83921906257026e-05
AD_DAGt,-3.7295072274901e-05,0
AD_DASCBR,27.9625058532436,27.9632895696094
AD_DATPtn,0,1.21448201548869e-08
AD_DCIm,-0.000717280880763838,0
AD_DCK1m,194.251468243351,194.259405712464
AD_DCK1n,-1000,805.748558278239
AD_DCK2n,-1000,1000
AD_DCSPTN1COAtx,-1.73796555322749e-05,0
AD_DCSPTN1CPT1,0,1.73796555322749e-05
AD_DCSPTN1CPT2,0,1.74166293485978e-05
AD_DCSPTN1CRNt,-1000,1000
AD_DCTPtn,194.251469617378,666.666680007199
AD_DECDPtm,0,2.02519076178945e-06
AD_DESAT16_2,0,0.000216820791721844
AD_DESAT18_10,0,0.000345395090029843
AD_DESAT18_3,0,0.000329502155636874
AD_DESAT18_4,0,0.000192480269589623
AD_DESAT18_5,0,0.000326719917694618
AD_DESAT18_6,0,0.000229550943032564
AD_DESAT18_7,0,0.000136451669277449
AD_DESAT18_8,0,0.00022960551405049
AD_DESAT18_9,0,0.000348464992839581
AD_DESAT20_1,0,3.17943264452714e-05
AD_DESAT20_2,0,3.24787995396036e-05
AD_DESAT22_1p,0,1.92522817716894e-05
AD_DESAT22_2p,0,3.98043607875431e-05
AD_DGAT,0,6.11419033020866e-05
AD_DGCHOLtx,278.775547192372,278.777025014531
AD_DGK2m,0,3.64126008959853e-05
AD_DGNSKm,0,3.64126008959853e-05
AD_DGSNtm,0,3.64126008959853e-05
AD_DGTPtn,0,9.08841243231755e-09
AD_DHAAt1r,0,0.00065344662049327
AD_DHCHOLESTANATEtm,-4.59806612980174e-05,0
AD_DHCR241r,0,4.42957224381738e-06
AD_DHCR242r,0,1000
AD_DHCR243r,0,4.42291675284423e-06
AD_DHCR71r,0,4.40431880033287e-06
AD_DHCRD1,0,1.89121984562109
AD_DHCRD2,0,1.89121984462179
AD_DHDPBMTm,0,2.02519076178945e-06
AD_DHEAStr,0,0
AD_DHFtl,-1.33005505441967e-05,0
