Food Rxn,Flux
Food_Added_EX_CE2510[e],-20
Food_Added_EX_arachd[e],-10
Food_Added_EX_dca[e],-20
Food_Added_EX_doco13ac[e],-30
Food_Added_EX_hpdca[e],-20
Food_Removed_EX_10fthf[e],-1.06123638891635e-09
Food_Removed_EX_5mthf[e],-1.09127267605908e-09
Food_Removed_EX_CE2510[e],-4.19464668389408e-06
Food_Removed_EX_CE4843[e],-1.58473627549278e-07
Food_Removed_EX_arach[e],-2.781634285378e-06
Food_Removed_EX_arachd[e],-1.49828087647674e-06
Food_Removed_EX_ascb_L[e],-6.30771643818979e-06
Food_Removed_EX_asp_L[e],-0.000334002171674312
Food_Removed_EX_avite1[e],-2.85577566698034e-07
Food_Removed_EX_btn[e],-1.99674109658462e-09
Food_Removed_EX_but[e],-3.01387415439303e-07
Food_Removed_EX_ca2[e],-0.000137583794933214
Food_Removed_EX_chsterol[e],-4.38764940702721e-06
Food_Removed_EX_cl[e],-0.000964354215582267
Food_Removed_EX_clpnd[e],-2.09031242241944e-07
Food_Removed_EX_crvnc[e],-1.60136859123027e-06
Food_Removed_EX_dca[e],-1.81014815770711e-07
Food_Removed_EX_ddca[e],-4.24381206209296e-07
Food_Removed_EX_doco13ac[e],-2.07864465653532e-07
Food_Removed_EX_docosac[e],-1.64298220091982e-06
Food_Removed_EX_fe2[e],-1.76856701584743e-06
Food_Removed_EX_fe3[e],-1.76856701584743e-06
Food_Removed_EX_fol[e],-1.13602087848749e-09
Food_Removed_EX_fru[e],-0.000655530385997167
Food_Removed_EX_gal[e],-4.20931722654287e-06
Food_Removed_EX_glc_D[e],-0.000500879145969317
Food_Removed_EX_glu_L[e],-0.000545064414519533
Food_Removed_EX_gly[e],-0.000253260382558066
Food_Removed_EX_hdca[e],-0.000143529763785447
Food_Removed_EX_hdcea[e],-1.50707694505492e-05
Food_Removed_EX_his_L[e],-7.17485978501442e-05
Food_Removed_EX_hpdca[e],-8.44180723149425e-07
Food_Removed_EX_i[e],-1.52526148212116e-08
Food_Removed_EX_ile_L[e],-0.000174717713541949
Food_Removed_EX_k[e],-0.000485199058100567
Food_Removed_EX_lcts[e],-0.000110727833910075
Food_Removed_EX_lgnc[e],-6.9573121946195e-07
Food_Removed_EX_lnlnca[e],-9.48465819364529e-05
Food_Removed_EX_na1[e],-0.000616299492384933
Food_Removed_EX_nac[e],-1.99970243335804e-06
Food_Removed_EX_ncam[e],-9.01572383178054e-07
Food_Removed_EX_phe_L[e],-0.00012374139193607
Food_Removed_EX_pi[e],-9.30669425594896e-05
Food_Removed_EX_pnto_R[e],-2.28546421845143e-07
Food_Removed_EX_pro_L[e],-0.000212102787706125
Food_Removed_EX_ptdca[e],-3.00430645451723e-07
Food_Removed_EX_pydam[e],-2.08085846616352e-08
Food_Removed_EX_pydx[e],-2.10624025396522e-08
Food_Removed_EX_pydxn[e],-2.08114382225879e-08
Food_Removed_EX_retinol[e],-4.58192588206875e-06
Food_Removed_EX_ribflv[e],-2.87288446102296e-08
Food_Removed_EX_ser_L[e],-0.000217145601434671
Food_Removed_EX_thf[e],-1.12827393013847e-09
Food_Removed_EX_thr_L[e],-0.000159412273588137
Food_Removed_EX_ttdca[e],-3.28128000891379e-06
Food_Removed_EX_ttdcea[e],-1.30354462072066e-07
Food_Removed_EX_val_L[e],-0.000212411033610679
Food_Removed_EX_vitd3[e],-6.39129584368183e-11
Food_Removed_EX_xylt[e],-1.15021249354238e-06
Food_Removed_EX_zn2[e],-1.01999847048027e-06
