Reaction,FSR,RegulationStatus
3647,18109.6085518448,Upregulated
3651,9.19274325551429,Upregulated
3703,3.08802081774979,Upregulated
3704,3.08802081774979,Upregulated
3710,0.386002602218724,Downregulated
3720,0.386002602218724,Downregulated
3726,5.489769900553,Upregulated
3729,0.386002602218724,Downregulated
3731,0.386002602218724,Downregulated
3757,0.386002602218724,Downregulated
3758,0.386002602218724,Downregulated
3765,5825.31100840717,Upregulated
3769,0.01,Downregulated
3791,0.01,Downregulated
3792,0.100352443990143,Downregulated
3794,0.139733997357002,Downregulated
3795,0.247364010469293,Downregulated
3824,9.78789899917012,Upregulated
3841,0.0928384243263414,Downregulated
3864,3.35634208456658,Upregulated
3867,5.48976990072634,Upregulated
3868,3.51803716720139,Upregulated
3906,2.00226850574355,Upregulated
3914,3.99999455357848,Upregulated
3928,0.412384793211872,Downregulated
3930,0.389670863142137,Downregulated
3943,299.109313326183,Upregulated
3960,11398.1369550729,Upregulated
3973,2.84323490103493,Upregulated
3979,12841.3368561513,Upregulated
3982,2.03950905655179,Upregulated
3987,19193.5822684129,Upregulated
3988,19193.5824990229,Upregulated
3991,17460.6412664141,Upregulated
4025,0.322245856967463,Downregulated
4028,3171.18137168955,Upregulated
4045,0.285076405247369,Downregulated
4075,2.23558158018661,Upregulated
4090,18894.1940400439,Upregulated
4131,0.0107623373219335,Downregulated
4133,0.213007290899168,Downregulated
4143,2.50140057490365,Upregulated
4144,2.60962086091889,Upregulated
4156,0.0734714456768435,Downregulated
4168,0.417733452038582,Downregulated
4169,0.104464672116955,Downregulated
4206,539.723716823057,Upregulated
4208,0.0208929344233582,Downregulated
4211,0.068659386662176,Downregulated
4212,13806.9669791274,Upregulated
4242,0.0928567225260521,Downregulated
4252,3.17276339963219,Upregulated
4260,0.311866739700234,Downregulated
4264,8.95156254526878,Upregulated
4281,0.0518435036022235,Downregulated
4312,13.2795997537732,Upregulated
4313,28.4442118673631,Upregulated
4314,0.417733452033898,Downregulated
4325,18832.5354696978,Upregulated
4326,19738.0217682686,Upregulated
4334,0.418603865358917,Downregulated
4336,0.417733452043871,Downregulated
4338,0.49993424082162,Downregulated
4353,0.231043516589761,Downregulated
4385,0.0893382669237565,Downregulated
4408,4.23094320958577,Upregulated
4411,3.9999922407678,Upregulated
4412,3.95075850571641,Upregulated
4420,3.95075850571634,Upregulated
4428,28.4441182543859,Upregulated
4435,0.0723463656919202,Downregulated
