commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
EN_r0224,2.59649970143156,Upregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,202.833930687058,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],1.7014100077833e-06,Unchanged
EN_sink_gln_L[c],0.00277876005617265,Unchanged
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],0.000275044635947531,Unchanged
GN_2OBUTt,1.75938332465648e-05,Unchanged
GN_4ABUTtm,0.29257735806974,Downregulated
GN_ABTArm,0.29257735806974,Downregulated
GN_ABUTt2rL,0.135749530693744,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,1.02632920684654e-06,Unchanged
GN_ACGALK,0.225114451078728,Downregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,0.0342734622238566,Downregulated
GN_ARACHDFATPtc,3.14119327092974e-07,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.225114471289089,Downregulated
GN_BPNT,0.0342734635998998,Downregulated
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,0.0001558377239967,Unchanged
GN_C226CPT2,0.000155837742199853,Unchanged
GN_CERT2rt,7.36605758465209e-08,Unchanged
GN_CHSTEROLt,0.0144077757277458,Downregulated
GN_CKc,0.0229133396059212,Downregulated
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,1.17203213574192,Unchanged
GN_DDCAte,0.00302495365403269,Unchanged
GN_DESAT18_4,9.11609994395392e-05,Unchanged
GN_DESAT18_7,0.0013470542633326,Unchanged
GN_DM_pcreat[c],0.0229133396059212,Downregulated
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,2.64775233108381e-07,Unchanged
GN_FACOAL204,3.14119336766316e-07,Unchanged
GN_FAEL183,3.68739447124078e-07,Unchanged
GN_FAEL205,4.42528886557033e-07,Unchanged
GN_FAOXC101x,28.1284830452255,Upregulated
GN_FAOXC185C164m,0.00380813645712842,Unchanged
GN_FAOXC185m,0.00380813645712842,Unchanged
GN_FAOXC205C185m,0.00380813645712842,Unchanged
GN_FAOXC226C205m,0.00380813645712842,Unchanged
GN_FAOXC226C227m,0.00380813645712842,Unchanged
GN_FAOXC226m,0.00380813645712842,Unchanged
GN_FAOXC227C226m,0.00380813645712842,Unchanged
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.0532911888974944,Downregulated
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.0370037208454066,Downregulated
GN_GALNTg,0.0370037208454066,Downregulated
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,944902.519365009,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
GN_GLXO1,NaN,Unchanged
GN_GSNt2r,2.27446061404215,Upregulated
GN_HACD9m,NaN,Unchanged
GN_HEXCCOAtx,1.02632920684655e-06,Unchanged
GN_HMR_0261,0.001946083040164,Unchanged
GN_HMR_0267,4.43272298962568e-07,Unchanged
GN_HMR_0317,0.0676876453666466,Downregulated
GN_HMR_0815,0.450228916481428,Downregulated
GN_HMR_0816,1.13045226951119,Unchanged
GN_HMR_0835,0.225114471289089,Downregulated
GN_HMR_0836,0.225114471289089,Downregulated
GN_HMR_1305,NaN,Unchanged
GN_HMR_1307,NaN,Unchanged
GN_HMR_2211,1.02632920684654e-06,Unchanged
GN_HMR_2215,1.02632920684654e-06,Unchanged
GN_HMR_2217,1.02632920684654e-06,Unchanged
GN_HMR_2218,1.02632920684654e-06,Unchanged
GN_HMR_2219,1.02632920684654e-06,Unchanged
GN_HMR_2374,1.14808070129195e-06,Unchanged
GN_HMR_2376,1.14808070129195e-06,Unchanged
GN_HMR_2704,0,Unchanged
GN_HMR_2744,386723.470661091,Upregulated
GN_HMR_2753,10330.1048495974,Upregulated
GN_HMR_2760,10330.1049169463,Upregulated
GN_HMR_2817,0,Unchanged
GN_HMR_3057,1.02632920684654e-06,Unchanged
GN_HMR_3058,1.02632920684654e-06,Unchanged
GN_HMR_3059,1.02632920684654e-06,Unchanged
GN_HMR_3062,1.02632920684654e-06,Unchanged
GN_HMR_3063,1.02632920684654e-06,Unchanged
GN_HMR_3064,1.02632920684654e-06,Unchanged
GN_HMR_3065,1.02632920684654e-06,Unchanged
GN_HMR_3066,1.02632920684654e-06,Unchanged
GN_HMR_3067,1.02632920684654e-06,Unchanged
GN_HMR_3068,1.02632920684654e-06,Unchanged
GN_HMR_3069,1.02632920684654e-06,Unchanged
GN_HMR_3070,1.02632920684654e-06,Unchanged
GN_HMR_3071,1.02632920684654e-06,Unchanged
GN_HMR_3072,1.02632920684654e-06,Unchanged
GN_HMR_3073,1.02632920684654e-06,Unchanged
GN_HMR_3107,0,Unchanged
GN_HMR_3108,0,Unchanged
GN_HMR_3109,0,Unchanged
GN_HMR_3110,0,Unchanged
GN_HMR_3111,0,Unchanged
GN_HMR_3112,0,Unchanged
GN_HMR_3113,0,Unchanged
GN_HMR_3114,0,Unchanged
GN_HMR_3115,0,Unchanged
GN_HMR_3116,0,Unchanged
GN_HMR_3117,0,Unchanged
GN_HMR_3118,0,Unchanged
GN_HMR_3322,28.1284836732025,Upregulated
GN_HMR_7703,NaN,Unchanged
GN_LINKDEG4ly,NaN,Unchanged
GN_LNELDCCPT1,0.00270884602327776,Unchanged
GN_LNLNCGCRNt,9737.66515457126,Upregulated
GN_MLTHFtm,NaN,Unchanged
GN_NACHEXA7ly,NaN,Unchanged
GN_NACHEXA8ly,NaN,Unchanged
GN_NAGA2ly,0.0370037208454066,Downregulated
GN_NAGLCAly,0.0370037208454066,Downregulated
GN_NEU11l,0.225114471289089,Downregulated
GN_O2Stm,1.17203200722856,Unchanged
GN_OCT11EFATP,0.001946083040164,Unchanged
GN_OLEICFATPtc,0.0180173439425088,Downregulated
GN_PAPStg,0.034273462223677,Downregulated
GN_PAPtg,0.0342734635998998,Downregulated
GN_PGS,NaN,Unchanged
GN_PGSr,NaN,Unchanged
GN_PUNP4,9643.70171285601,Upregulated
GN_RE0574C,1.02632920684655e-06,Unchanged
GN_RE0575C,1.02632920684655e-06,Unchanged
GN_RE0576C,1.02632920684655e-06,Unchanged
GN_RE0578C,0.0677202878126975,Downregulated
GN_RE1342C,0.00311286076307745,Unchanged
GN_RE1518X,28.1284836732025,Upregulated
GN_RE1520X,28.1284836732222,Upregulated
GN_RE1521X,28.1284836732222,Upregulated
GN_RE1522X,28.1284836732222,Upregulated
GN_RE1525X,28.1284836732222,Upregulated
GN_RE1526X,28.1284836732222,Upregulated
GN_RE1527X,28.1284836732222,Upregulated
GN_RE1532X,28.1284836732222,Upregulated
GN_RE1533X,28.1284836732222,Upregulated
GN_RE1534X,28.1284836732222,Upregulated
GN_RE1573X,28.1284836732222,Upregulated
GN_RE1796R,2544981.32113787,Upregulated
GN_RE2069C,NaN,Unchanged
GN_RE2954C,0.0577128077847774,Downregulated
GN_RE3103C,1.14808070129195e-06,Unchanged
GN_RE3104C,1.14808070129195e-06,Unchanged
GN_RE3119C,2.38768180485345e-06,Unchanged
GN_RE3120C,2.38768180497064e-06,Unchanged
GN_RE3121C,2.38768180485345e-06,Unchanged
GN_RE3122C,2.38768180485345e-06,Unchanged
GN_SADT,0.0342734622238566,Downregulated
GN_SO4tl,0.0342734624552738,Downregulated
GN_SPHMYLN_HsATPte,0.0331134841924065,Downregulated
GN_TAURtcx,0.708794971600844,Unchanged
GN_THCHOLSTOICt,276605.603122849,Upregulated
GN_THMDt2r,1561102.80490731,Upregulated
GN_UAGALDP,0.225114451078728,Downregulated
GN_UDPGALtg,0.0182566984827287,Downregulated
GN_UGALNACtg,0.0370037211716667,Downregulated
GN_XOL7AH3t,138303.582902558,Upregulated
GN_pac,NaN,Unchanged
GN_r0178,0.29257735806974,Downregulated
GN_r0394,43.253171310337,Upregulated
GN_r0409,1.00129951047087,Unchanged
GN_r0431,0.00432642034118463,Unchanged
GN_r0432,0.00432642034119219,Unchanged
GN_r0444,1.022152136562e-07,Unchanged
GN_r0610,1.07283340310331e-05,Unchanged
GN_r0611,1.07283340308846e-05,Unchanged
GN_r1000,1.022152136562e-07,Unchanged
GN_r1005,0.00432642034119219,Unchanged
GN_r1253,0,Unchanged
GN_r1364,0.0466125312258813,Downregulated
GN_r1365,0.0466125312258813,Downregulated
GN_r1487,1.022152136562e-07,Unchanged
GN_r2145,0.5,Downregulated
GN_r2329,NaN,Unchanged
GN_r2502,28.128486300877,Upregulated
GN_r2503,0.0151088494401776,Downregulated
GN_r2514,1.0221521357476e-07,Unchanged
GN_sink_4abut[l],0.135749530693744,Downregulated
GN_sink_dhcholestanate[c],94675.6840667193,Upregulated
GN_sink_lnlncacoa[c],6.97031317760667e-07,Unchanged
GN_sink_phe_L[c],68419240.5471342,Upregulated
GN_sink_ser_L[c],31782.3961966347,Upregulated
OO_3SALATAi,NaN,Unchanged
OO_3SALATAim,NaN,Unchanged
OO_3SPYRSP,NaN,Unchanged
OO_3SPYRSPm,NaN,Unchanged
OO_ACACT6p,0.171688322900401,Downregulated
OO_ACACT7p,0.171688322900401,Downregulated
OO_ACALDt,4.32477092245777e-05,Unchanged
OO_ACGAM2E,NaN,Unchanged
OO_ALOX15,NaN,Unchanged
OO_BDHm,26.4336196481286,Upregulated
OO_BETBGTtc,0.953236179395403,Unchanged
OO_BHBtm,26.4336196481286,Upregulated
OO_BHMT,0.380336282873963,Downregulated
OO_C05769te2,NaN,Unchanged
OO_C40CPT1,NaN,Unchanged
OO_C4tcx,5.62099990965951,Upregulated
OO_C4x,5.62099990965951,Upregulated
OO_CSAPASEly,0.154503343673218,Downregulated
OO_CSCPASEly,0.1545033301494,Downregulated
OO_CSPG_Atly,0.154503343673218,Downregulated
OO_CSPG_Ctly,0.1545033301494,Downregulated
OO_CYSTA,NaN,Unchanged
OO_DCK1n,2.2258266473607e-05,Unchanged
OO_DCT,2.31155501901903e-06,Unchanged
OO_DGSNt,1.36661701976012,Unchanged
OO_DIGALSIDEtl,0.365380794729352,Downregulated
OO_DM_15HPET[r],0.00454534250876694,Unchanged
OO_DM_15HPET[x],0.125537549600979,Downregulated
OO_DM_melanin_c_,2.31155499320101e-06,Unchanged
OO_DOCOSACTDe,0.311233907212127,Downregulated
OO_DOPAQNISO1,2.3115550403328e-06,Unchanged
OO_FADDPle,NaN,Unchanged
OO_FAEL184,0.0905191205286588,Downregulated
OO_FAOXC101C102m,0.147651170800466,Downregulated
OO_FAOXC102C103x,0.207067919083441,Downregulated
OO_FAOXC102C81x,0.207067919083441,Downregulated
OO_FAOXC102x,0.207067919083441,Downregulated
OO_FAOXC103C102x,0.207067919083441,Downregulated
OO_FAOXC123C102x,0.207067919083441,Downregulated
OO_FAOXC123x,0.207067919083441,Downregulated
OO_FAOXC143C123x,0.207067919083441,Downregulated
OO_FAOXC164C143x,0.207067919083441,Downregulated
OO_FAOXC164C165x,0.207067919083441,Downregulated
OO_FAOXC164x,0.207067919083441,Downregulated
OO_FAOXC165C164x,0.207067919083441,Downregulated
OO_FAOXC184C164m,0.121337524047473,Downregulated
OO_FAOXC184C164x,0.207067919083441,Downregulated
OO_FAOXC2051843x,0.207067919083441,Downregulated
OO_FAOXC61x,0.207067919083441,Downregulated
OO_FAOXC81C61x,0.207067919083441,Downregulated
OO_FATP6t,1443881.24768649,Upregulated
OO_FMNALKPle,NaN,Unchanged
OO_FUMSO3tm,NaN,Unchanged
OO_GALGLUSIDEtg,0.603596980072181,Unchanged
OO_GLA2l,0.0773879565114514,Downregulated
OO_GLAl,0.365380794718025,Downregulated
OO_GLCAASE4ly,0.154503343673218,Downregulated
OO_GLCAASE5ly,0.154503344157628,Downregulated
OO_GLCt4,1239193.09293416,Upregulated
OO_GNDc,0.0645663174555394,Downregulated
OO_HDD2COAtx,0.171688322917889,Downregulated
OO_HMR_0276,0.202357146809276,Downregulated
OO_HMR_0392,0.0182420813301157,Downregulated
OO_HMR_0482,6.33795030143304e-08,Unchanged
OO_HMR_0839,0.0120221254227803,Downregulated
OO_HMR_0854,0.0120221254227803,Downregulated
OO_HMR_0986,0.00454534250876694,Unchanged
OO_HMR_0987,0.125537549600979,Downregulated
OO_HMR_3094,NaN,Unchanged
OO_HMR_3095,NaN,Unchanged
OO_HMR_3096,NaN,Unchanged
OO_HMR_3097,NaN,Unchanged
OO_HMR_3230,0.191510819974969,Downregulated
OO_HMR_3231,0.191510819974969,Downregulated
OO_HMR_3232,0.191510819974969,Downregulated
OO_HMR_3233,0.191510819974969,Downregulated
OO_HMR_3296,0.147651170800466,Downregulated
OO_HMR_3452,0.10834593899542,Downregulated
OO_HMR_3453,0.10834593899542,Downregulated
OO_HMR_3454,0.108345939013867,Downregulated
OO_HMR_3456,0.10834593899542,Downregulated
OO_HMR_3457,0.108345939013867,Downregulated
OO_HMR_4630,2.41551596398004e-07,Unchanged
OO_HMR_6362,0.0143449418949079,Downregulated
OO_ICDHyp,NaN,Unchanged
OO_LACZe,0.14800216879884,Downregulated
OO_LINKDEG2ly,0.154503347319833,Downregulated
OO_LTC4CP,0.5,Downregulated
OO_MLTHFte2,1.00000069891021,Unchanged
OO_NACHEX1ly,0.154503343673218,Downregulated
OO_NACHEX2ly,0.154503347319833,Downregulated
OO_NACHEXA3ly,0.154503344157628,Downregulated
OO_NACHEXA4ly,0.154503344157628,Downregulated
OO_NACSMCTte,9.79341873896706,Upregulated
OO_NDPK7n,2.22582669873349e-05,Unchanged
OO_NTD7e,0.0222012428143245,Downregulated
OO_OCCOAtm,5.65219714032708e-05,Unchanged
OO_P4507B12r,NaN,Unchanged
OO_PA_HStm,0.142792484496022,Downregulated
OO_PGI,0.96616053783585,Unchanged
OO_PGLc,0.0645663176203532,Downregulated
OO_PTVSTtep,3.49455112200303e-07,Unchanged
OO_RE1520M,0.147651170740148,Downregulated
OO_RE1522M,0.147651169393535,Downregulated
OO_RE1525M,0.147651169393535,Downregulated
OO_RE1527M,0.147651170740148,Downregulated
OO_RE1532M,0.147651169393535,Downregulated
OO_RE1534M,0.147651170740148,Downregulated
OO_RE2992M,0.108345939013867,Downregulated
OO_RE3174C,0.221058352633248,Downregulated
OO_RE3175C,0.221058352654339,Downregulated
OO_RSVtev,3.49455098103135e-07,Unchanged
OO_S4TASE1ly,0.154503343679506,Downregulated
OO_S4TASE2ly,0.154503347326121,Downregulated
OO_SARDHm,0.380336257957651,Downregulated
OO_SIAT9g,0.136598043145423,Downregulated
OO_ST8SIA12,0.136598043145423,Downregulated
OO_TMNDNCCOAtx,0.207067919062347,Downregulated
OO_TYRASE,2.31155499320101e-06,Unchanged
OO_UPPN,NaN,Unchanged
