commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
EN_r0224,2.14277297954735,Upregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,567.466030759793,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],5.1044837857279e-06,Unchanged
EN_sink_gln_L[c],0.00568762584281583,Unchanged
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],0.000263009614902323,Unchanged
GN_2OBUTt,3.50002978196926e-05,Unchanged
GN_4ABUTtm,0.440998996982489,Downregulated
GN_ABTArm,0.440998996982489,Downregulated
GN_ABUTt2rL,0.23871927257258,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,1.85668285944036e-06,Unchanged
GN_ACGALK,0.415073426134901,Downregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,0.0615199479568364,Downregulated
GN_ARACHDFATPtc,5.69241097003786e-07,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.415073430795428,Downregulated
GN_BPNT,0.0615199480748547,Downregulated
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,0.00028489044771275,Unchanged
GN_C226CPT2,0.000284890448887147,Unchanged
GN_CERT2rt,1.30088978773893e-07,Unchanged
GN_CHSTEROLt,0.0256209280514211,Downregulated
GN_CKc,0.0420868645549825,Downregulated
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.0294512502113746,Downregulated
GN_DDCAte,0.000124775930548465,Unchanged
GN_DESAT18_4,0.000170599336029746,Unchanged
GN_DESAT18_7,0.00252088649603445,Unchanged
GN_DM_pcreat[c],0.0420868645549825,Downregulated
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,4.76988838242221e-07,Unchanged
GN_FACOAL204,5.69241096131443e-07,Unchanged
GN_FAEL183,6.69452893296575e-07,Unchanged
GN_FAEL205,8.07205636137535e-07,Unchanged
GN_FAOXC101x,1.1602682742568,Unchanged
GN_FAOXC185C164m,0.00696173909576855,Unchanged
GN_FAOXC185m,0.00696173909576855,Unchanged
GN_FAOXC205C185m,0.00696173909576855,Unchanged
GN_FAOXC226C205m,0.00696173909576855,Unchanged
GN_FAOXC226C227m,0.00696173909576855,Unchanged
GN_FAOXC226m,0.00696173909576855,Unchanged
GN_FAOXC227C226m,0.00696173909576855,Unchanged
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.0815816173750477,Downregulated
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.0664453272688718,Downregulated
GN_GALNTg,0.0664453272688718,Downregulated
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,1025607.48707965,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
GN_GLXO1,NaN,Unchanged
GN_GSNt2r,2.27446061404215,Upregulated
GN_HACD9m,NaN,Unchanged
GN_HEXCCOAtx,1.85668285829605e-06,Unchanged
GN_HMR_0261,0.00361045631193375,Unchanged
GN_HMR_0267,9.18076607033976e-07,Unchanged
GN_HMR_0317,0.120366959936345,Downregulated
GN_HMR_0815,0.830146866024914,Unchanged
GN_HMR_0816,2.05598583680219,Upregulated
GN_HMR_0835,0.415073430795428,Downregulated
GN_HMR_0836,0.415073430795428,Downregulated
GN_HMR_1305,NaN,Unchanged
GN_HMR_1307,NaN,Unchanged
GN_HMR_2211,1.85668285944036e-06,Unchanged
GN_HMR_2215,1.85668285944036e-06,Unchanged
GN_HMR_2217,1.85668285944036e-06,Unchanged
GN_HMR_2218,1.85668285944036e-06,Unchanged
GN_HMR_2219,1.85668285944036e-06,Unchanged
GN_HMR_2374,2.04850866569519e-06,Unchanged
GN_HMR_2376,2.04850866569519e-06,Unchanged
GN_HMR_2704,0,Unchanged
GN_HMR_2744,386723.470661091,Upregulated
GN_HMR_2753,10330.1048495974,Upregulated
GN_HMR_2760,10330.1049169463,Upregulated
GN_HMR_2817,0,Unchanged
GN_HMR_3057,1.85668285944036e-06,Unchanged
GN_HMR_3058,1.85668285944036e-06,Unchanged
GN_HMR_3059,1.85668285944036e-06,Unchanged
GN_HMR_3062,1.85668285944036e-06,Unchanged
GN_HMR_3063,1.85668285944036e-06,Unchanged
GN_HMR_3064,1.85668285944036e-06,Unchanged
GN_HMR_3065,1.85668285944036e-06,Unchanged
GN_HMR_3066,1.85668285944036e-06,Unchanged
GN_HMR_3067,1.85668285944036e-06,Unchanged
GN_HMR_3068,1.85668285944036e-06,Unchanged
GN_HMR_3069,1.85668285944036e-06,Unchanged
GN_HMR_3070,1.85668285944036e-06,Unchanged
GN_HMR_3071,1.85668285944036e-06,Unchanged
GN_HMR_3072,1.85668285944036e-06,Unchanged
GN_HMR_3073,1.85668285944036e-06,Unchanged
GN_HMR_3107,0,Unchanged
GN_HMR_3108,0,Unchanged
GN_HMR_3109,0,Unchanged
GN_HMR_3110,0,Unchanged
GN_HMR_3111,0,Unchanged
GN_HMR_3112,0,Unchanged
GN_HMR_3113,0,Unchanged
GN_HMR_3114,0,Unchanged
GN_HMR_3115,0,Unchanged
GN_HMR_3116,0,Unchanged
GN_HMR_3117,0,Unchanged
GN_HMR_3118,0,Unchanged
GN_HMR_3322,1.1602682742568,Unchanged
GN_HMR_7703,NaN,Unchanged
GN_LINKDEG4ly,NaN,Unchanged
GN_LNELDCCPT1,0.00493067326535654,Unchanged
GN_LNLNCGCRNt,9737.66515457126,Upregulated
GN_MLTHFtm,NaN,Unchanged
GN_NACHEXA7ly,NaN,Unchanged
GN_NACHEXA8ly,NaN,Unchanged
GN_NAGA2ly,0.0664453272688718,Downregulated
GN_NAGLCAly,0.0664453272688718,Downregulated
GN_NEU11l,0.415073430795428,Downregulated
GN_O2Stm,0.0294512493655985,Downregulated
GN_OCT11EFATP,0.00361045631193375,Unchanged
GN_OLEICFATPtc,0.033340195184653,Downregulated
GN_PAPStg,0.061519947937932,Downregulated
GN_PAPtg,0.0615199480748547,Downregulated
GN_PGS,NaN,Unchanged
GN_PGSr,NaN,Unchanged
GN_PUNP4,8105.7519848751,Upregulated
GN_RE0574C,1.85668285829605e-06,Unchanged
GN_RE0575C,1.85668285829605e-06,Unchanged
GN_RE0576C,1.85668285829605e-06,Unchanged
GN_RE0578C,0.132698183643102,Downregulated
GN_RE1342C,1.29409146609086,Unchanged
GN_RE1518X,1.16026828729134,Unchanged
GN_RE1520X,1.16026828727954,Unchanged
GN_RE1521X,1.16026827426073,Unchanged
GN_RE1522X,1.16026827426073,Unchanged
GN_RE1525X,1.16026827426073,Unchanged
GN_RE1526X,1.16026828727954,Unchanged
GN_RE1527X,1.16026827426073,Unchanged
GN_RE1532X,1.16026828727954,Unchanged
GN_RE1533X,1.16026828727954,Unchanged
GN_RE1534X,1.16026828727954,Unchanged
GN_RE1573X,1.16026828727954,Unchanged
GN_RE1796R,2544981.32113787,Upregulated
GN_RE2069C,NaN,Unchanged
GN_RE2954C,0.102781560647048,Downregulated
GN_RE3103C,2.04850866569519e-06,Unchanged
GN_RE3104C,2.04850866569519e-06,Unchanged
GN_RE3119C,4.28734501640496e-06,Unchanged
GN_RE3120C,4.28734501555952e-06,Unchanged
GN_RE3121C,4.28734501640496e-06,Unchanged
GN_RE3122C,4.28734501640496e-06,Unchanged
GN_SADT,0.0615199479568364,Downregulated
GN_SO4tl,0.0615199477544063,Downregulated
GN_SPHMYLN_HsATPte,0.058646406375323,Downregulated
GN_TAURtcx,0.708794971600844,Unchanged
GN_THCHOLSTOICt,276605.603122849,Upregulated
GN_THMDt2r,1561102.80490731,Upregulated
GN_UAGALDP,0.415073426134901,Downregulated
GN_UDPGALtg,0.0328577454231456,Downregulated
GN_UGALNACtg,0.066445328400193,Downregulated
GN_XOL7AH3t,138303.997651004,Upregulated
GN_pac,NaN,Unchanged
GN_r0178,0.440998996982489,Downregulated
GN_r0394,36.3539195143036,Upregulated
GN_r0409,1.00129941906121,Unchanged
GN_r0431,0.00704023412516488,Unchanged
GN_r0432,0.00704023412517718,Unchanged
GN_r0444,1.8399705482655e-07,Unchanged
GN_r0610,3.51003574354029e-06,Unchanged
GN_r0611,3.51003574339176e-06,Unchanged
GN_r1000,1.8399705482655e-07,Unchanged
GN_r1005,0.00704023412517718,Unchanged
GN_r1253,0,Unchanged
GN_r1364,0.0827975301954248,Downregulated
GN_r1365,0.0827975301954248,Downregulated
GN_r1487,1.8399705482655e-07,Unchanged
GN_r2145,0.5,Downregulated
GN_r2329,NaN,Unchanged
GN_r2502,1.16026841062227,Unchanged
GN_r2503,0.0268676257391126,Downregulated
GN_r2514,1.83997054626895e-07,Unchanged
GN_sink_4abut[l],0.23871927257258,Downregulated
GN_sink_dhcholestanate[c],94675.9679826424,Upregulated
GN_sink_lnlncacoa[c],1.236486097271e-06,Unchanged
GN_sink_phe_L[c],68419240.5471342,Upregulated
GN_sink_ser_L[c],57913.321362609,Upregulated
OO_3SALATAi,NaN,Unchanged
OO_3SALATAim,NaN,Unchanged
OO_3SPYRSP,NaN,Unchanged
OO_3SPYRSPm,NaN,Unchanged
OO_ACACT6p,0.292540791789896,Downregulated
OO_ACACT7p,0.292540791789896,Downregulated
OO_ACALDt,7.05434619544995e-05,Unchanged
OO_ACGAM2E,NaN,Unchanged
OO_ALOX15,NaN,Unchanged
OO_BDHm,0.845720658124882,Unchanged
OO_BETBGTtc,1.45922925344863,Unchanged
OO_BHBtm,0.845720670681382,Unchanged
OO_BHMT,0.52672689419532,Unchanged
OO_C05769te2,NaN,Unchanged
OO_C40CPT1,NaN,Unchanged
OO_C4tcx,5.16054406418784,Upregulated
OO_C4x,5.16054406418784,Upregulated
OO_CSAPASEly,0.254442071911238,Downregulated
OO_CSCPASEly,0.25444204754478,Downregulated
OO_CSPG_Atly,0.254442071911238,Downregulated
OO_CSPG_Ctly,0.25444204754478,Downregulated
OO_CYSTA,NaN,Unchanged
OO_DCK1n,3.13674559439794e-05,Unchanged
OO_DCT,5.77937176626801e-06,Unchanged
OO_DGSNt,1.31646847240623,Unchanged
OO_DIGALSIDEtl,0.596950576587674,Unchanged
OO_DM_15HPET[r],4.19257356282737e-05,Unchanged
OO_DM_15HPET[x],0.249409316227818,Downregulated
OO_DM_melanin_c_,5.7793717798734e-06,Unchanged
OO_DOCOSACTDe,0.654806435200006,Unchanged
OO_DOPAQNISO1,5.77937175889017e-06,Unchanged
OO_FADDPle,NaN,Unchanged
OO_FAEL184,0.194152348023275,Downregulated
OO_FAOXC101C102m,0.288624299322963,Downregulated
OO_FAOXC102C103x,0.594335796799772,Unchanged
OO_FAOXC102C81x,0.594335796799772,Unchanged
OO_FAOXC102x,0.594335796799772,Unchanged
OO_FAOXC103C102x,0.594335796799772,Unchanged
OO_FAOXC123C102x,0.594335796799772,Unchanged
OO_FAOXC123x,0.594335796799772,Unchanged
OO_FAOXC143C123x,0.594335796799772,Unchanged
OO_FAOXC164C143x,0.594335796799772,Unchanged
OO_FAOXC164C165x,0.594335796799772,Unchanged
OO_FAOXC164x,0.594335796799772,Unchanged
OO_FAOXC165C164x,0.594335796799772,Unchanged
OO_FAOXC184C164m,0.241234210030417,Downregulated
OO_FAOXC184C164x,0.594335796799772,Unchanged
OO_FAOXC2051843x,0.594335796799772,Unchanged
OO_FAOXC61x,0.594335796799772,Unchanged
OO_FAOXC81C61x,0.594335796799772,Unchanged
OO_FATP6t,1443881.24768649,Upregulated
OO_FMNALKPle,NaN,Unchanged
OO_FUMSO3tm,NaN,Unchanged
OO_GALGLUSIDEtg,1.01269276045851,Unchanged
OO_GLA2l,0.131382773506243,Downregulated
OO_GLAl,0.596950576534391,Unchanged
OO_GLCAASE4ly,0.254442071911238,Downregulated
OO_GLCAASE5ly,0.254442070614071,Downregulated
OO_GLCt4,1239193.09293416,Upregulated
OO_GNDc,0.116505297886719,Downregulated
OO_HDD2COAtx,0.292540791786395,Downregulated
