commonRxns,FSR_PCOPT,Status_PCOPT
EN_XOLEST183CEH,1294.26112195956,Upregulated
EN_XOLEST183te,1294.26112193459,Upregulated
EN_XOLEST183tl,1294.26112193459,Upregulated
EN_r0022,17313285.8517292,Upregulated
EN_r0051,112.626663384116,Upregulated
EN_r0166,112.626663384601,Upregulated
EN_r0224,1.40905719720073,Unchanged
EN_r0726,0,Unchanged
EN_r0743,1733.35207422824,Upregulated
EN_r1298,1294.26112195956,Upregulated
EN_r1645,1.01853272814672,Unchanged
EN_r1664,1568.47725443187,Upregulated
EN_sink_gchola[c],5.7442125455189,Upregulated
EN_sink_gln_L[c],1313.4263284568,Upregulated
EN_sink_pro_L[c],1,Unchanged
EN_sink_xol7aone[c],47.9938397764975,Upregulated
GN_2OBUTt,5.81683268810436e-05,Unchanged
GN_4ABUTtm,73.8561638708916,Upregulated
GN_ABTArm,73.8561638708916,Upregulated
GN_ABUTt2rL,36.2072846454122,Upregulated
GN_ACACT10m,0,Unchanged
GN_ACACT9p,6.2500380152405,Upregulated
GN_ACGALK,91.8408044083514,Upregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,26.3274048740323,Upregulated
GN_ARACHDFATPtc,11.4081996919575,Upregulated
GN_ARACHDtr,13.1443958275442,Upregulated
GN_BGAL1l,57.7805289594804,Upregulated
GN_BPNT,26.3274043526117,Upregulated
GN_C204CRNt,74334052.2716919,Upregulated
GN_C226CPT1,0.0708946020697571,Downregulated
GN_C226CPT2,0.0708946022456042,Downregulated
GN_CERT2rt,1.86243599773002,Unchanged
GN_CHSTEROLt,5.34926152012427,Upregulated
GN_CKc,10.2464979809651,Upregulated
GN_CLPNDCRNt,132478731.834936,Upregulated
GN_CSEPASEly,20.7970184364425,Upregulated
GN_CSPG_Etly,20.7970184364425,Upregulated
GN_CYOOm3i,8.03344621653729,Upregulated
GN_DDCAte,1017.22300387446,Upregulated
GN_DESAT18_4,4.25534829483211,Upregulated
GN_DESAT18_7,6.96942293164318,Upregulated
GN_DM_pcreat[c],10.2464979809651,Upregulated
GN_DURIPP,5.20220299325026,Upregulated
GN_D_LACt2,223.465468118804,Upregulated
GN_ECOAH9m,0,Unchanged
