commonRxns,FSR_BASE_PC,Status_BASE_PC
EN_r0224,0.430674148218287,Downregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,116.120024240682,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],1.04452552684685e-06,Unchanged
EN_sink_gln_L[c],14.8179603173896,Upregulated
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],5.38194072315075e-05,Unchanged
GN_2OBUTt,7.71608083903175e-06,Unchanged
GN_4ABUTtm,0.0921772219569856,Downregulated
GN_ABTArm,0.0921772219569856,Downregulated
GN_ABUTt2rL,0.0489281405187873,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,3.74027703105231e-07,Unchanged
GN_ACGALK,0.0850857962247122,Downregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,0.0125704771338808,Downregulated
GN_ARACHDFATPtc,1.16156903655086e-07,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.0850857938807221,Downregulated
GN_BPNT,0.0125704771266686,Downregulated
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,5.74492057032063e-05,Unchanged
GN_C226CPT2,5.74492135292274e-05,Unchanged
GN_CERT2rt,2.66153257357848e-08,Unchanged
GN_CHSTEROLt,0.0052401635661779,Unchanged
GN_CKc,0.00860504876064211,Unchanged
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.00703263593007781,Unchanged
GN_DDCAte,3.19977190318504e-05,Unchanged
GN_DESAT18_4,3.43964259285166e-05,Unchanged
GN_DESAT18_7,0.000508263796521948,Unchanged
GN_DM_pcreat[c],0.00860504876064211,Unchanged
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,0,Unchanged
GN_FACOAL204,1.16156912836198e-07,Unchanged
GN_FAEL183,1.35289767920765e-07,Unchanged
GN_FAEL205,1.62901677255012e-07,Unchanged
GN_FAOXC101x,0.229898043917184,Downregulated
