commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
EN_r0224,3.89147395885643,Upregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,917.384555814426,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],8.27159068224372e-06,Unchanged
EN_sink_gln_L[c],0.0402597800002622,Downregulated
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],0.000425190133474194,Unchanged
GN_2OBUTt,5.38940140774002e-05,Unchanged
GN_4ABUTtm,0.689463944998201,Unchanged
GN_ABTArm,0.689463944998201,Unchanged
GN_ABUTt2rL,0.398671323096393,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,3.23792355802643e-06,Unchanged
GN_ACGALK,0.6920729992968,Unchanged
GN_ACMPthc,0,Unchanged
GN_ADSK,0.103440009430579,Downregulated
GN_ARACHDFATPtc,9.69078453381821e-07,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.692073001829229,Unchanged
GN_BPNT,0.103440007776241,Downregulated
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,0.000495672771633719,Unchanged
GN_C226CPT2,0.000495672773982513,Unchanged
GN_CERT2rt,2.17278871181657e-07,Unchanged
GN_CHSTEROLt,0.0428855036355593,Downregulated
GN_CKc,0.0708423183981096,Downregulated
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.0428152379151037,Downregulated
GN_DDCAte,0.000215390068788386,Unchanged
GN_DESAT18_4,0.000296548117782283,Unchanged
GN_DESAT18_7,0.00438198761291925,Unchanged
GN_DM_pcreat[c],0.0708423183981096,Downregulated
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,0,Unchanged
GN_FACOAL204,9.6907843630918e-07,Unchanged
GN_FAEL183,1.1592466119272e-06,Unchanged
GN_FAEL205,1.40226988475145e-06,Unchanged
GN_FAOXC101x,1.87926228624518,Unchanged
GN_FAOXC185C164m,0.0121125314883772,Downregulated
GN_FAOXC185m,0.0121125314883772,Downregulated
GN_FAOXC205C185m,0.0121125314883772,Downregulated
GN_FAOXC226C205m,0.0121125314883772,Downregulated
GN_FAOXC226C227m,0.0121125314883772,Downregulated
GN_FAOXC226m,0.0121125314883772,Downregulated
GN_FAOXC227C226m,0.0121125314883772,Downregulated
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.138486458422967,Downregulated
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.110959471009675,Downregulated
GN_GALNTg,0.110959471009675,Downregulated
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,1025418.59799141,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
GN_GLXO1,NaN,Unchanged
GN_GSNt2r,2.27446061404215,Upregulated
GN_HACD9m,NaN,Unchanged
GN_HEXCCOAtx,3.23792355918892e-06,Unchanged
GN_HMR_0261,0.00622923298028189,Unchanged
GN_HMR_0267,1.53894410281207e-06,Unchanged
GN_HMR_0317,0.2014758395199,Downregulated
GN_HMR_0815,1.38414600284472,Unchanged
GN_HMR_0816,3.42273571093754,Upregulated
GN_HMR_0835,0.692073001829229,Unchanged
GN_HMR_0836,0.692073001829229,Unchanged
GN_HMR_1305,NaN,Unchanged
GN_HMR_1307,NaN,Unchanged
GN_HMR_2211,3.23792355802643e-06,Unchanged
GN_HMR_2215,3.23792355802643e-06,Unchanged
GN_HMR_2217,3.23792355802643e-06,Unchanged
GN_HMR_2218,3.23792355802643e-06,Unchanged
