commonRxns,FSR_BASE_PC,Status_BASE_PC
EN_r0224,0.539058164015358,Unchanged
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,145.342932689405,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],1.30739220063286e-06,Unchanged
EN_sink_gln_L[c],0.00145675056354943,Unchanged
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],6.73636591926314e-05,Unchanged
GN_2OBUTt,9.66057561583966e-06,Unchanged
GN_4ABUTtm,0.115374647851421,Downregulated
GN_ABTArm,0.115374647851421,Downregulated
GN_ABUTt2rL,0.0612414537959533,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,4.68155967080219e-07,Unchanged
GN_ACGALK,0.106498586057394,Downregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,0.0157339777127029,Downregulated
GN_ARACHDFATPtc,1.45389090387643e-07,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.106498590455549,Downregulated
GN_BPNT,0.0157339783766781,Downregulated
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,7.1906943448351e-05,Unchanged
GN_C226CPT2,7.1906943224739e-05,Unchanged
GN_CERT2rt,3.33133716979552e-08,Unchanged
GN_CHSTEROLt,0.0065589093206355,Unchanged
GN_CKc,0.0107706046848927,Downregulated
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.00880247721987416,Unchanged
GN_DDCAte,4.00658701892119e-05,Unchanged
GN_DESAT18_4,4.30526687309256e-05,Unchanged
GN_DESAT18_7,0.000636174289747577,Unchanged
GN_DM_pcreat[c],0.0107706046848927,Downregulated
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,7.94785739481912e-08,Unchanged
GN_FACOAL204,1.45389084317313e-07,Unchanged
GN_FAEL183,1.69336931841653e-07,Unchanged
GN_FAEL205,2.0389772021131e-07,Unchanged
GN_FAOXC101x,0.287754349052739,Downregulated
GN_FAOXC185C164m,0.00175715746306722,Unchanged
GN_FAOXC185m,0.00175715746306722,Unchanged
GN_FAOXC205C185m,0.00175715746306722,Unchanged
GN_FAOXC226C205m,0.00175715746306722,Unchanged
GN_FAOXC226C227m,0.00175715746306722,Unchanged
GN_FAOXC226m,0.00175715746306722,Unchanged
GN_FAOXC227C226m,0.00175715746306722,Unchanged
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.0207621593128521,Downregulated
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.0170495467880423,Downregulated
GN_GALNTg,0.0170495467880423,Downregulated
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,962714.078071878,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
GN_GLXO1,NaN,Unchanged
GN_GSNt2r,2.27446061404215,Upregulated
GN_HACD9m,NaN,Unchanged
GN_HEXCCOAtx,4.68155967080221e-07,Unchanged
GN_HMR_0261,0.000913882980284543,Unchanged
GN_HMR_0267,2.35200580904785e-07,Unchanged
GN_HMR_0317,0.0308137168435287,Downregulated
GN_HMR_0815,0.212997174355205,Downregulated
GN_HMR_0816,0.529196577934459,Unchanged
GN_HMR_0835,0.106498590455549,Downregulated
GN_HMR_0836,0.106498590455549,Downregulated
GN_HMR_1305,NaN,Unchanged
GN_HMR_1307,NaN,Unchanged
GN_HMR_2211,4.68155967080219e-07,Unchanged
GN_HMR_2215,4.68155967080219e-07,Unchanged
GN_HMR_2217,4.68155967080219e-07,Unchanged
GN_HMR_2218,4.68155967080219e-07,Unchanged
GN_HMR_2219,4.68155967080219e-07,Unchanged
GN_HMR_2374,5.21013557943437e-07,Unchanged
GN_HMR_2376,5.21013557943437e-07,Unchanged
GN_HMR_2704,0,Unchanged
GN_HMR_2744,386723.470661091,Upregulated
GN_HMR_2753,10330.1048495974,Upregulated
GN_HMR_2760,10330.1049169463,Upregulated
GN_HMR_2817,-4.52686134377911e-15,Unchanged
GN_HMR_3057,4.68155967080219e-07,Unchanged
GN_HMR_3058,4.68155967080219e-07,Unchanged
