commonRxns,FSR_BASE_PC,Status_BASE_PC
EN_r0224,0.405255948923644,Downregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,109.214438045278,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],9.83046447569722e-07,Unchanged
EN_sink_gln_L[c],0.00109327137890242,Unchanged
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],5.05526151547756e-05,Unchanged
GN_2OBUTt,7.24267418911495e-06,Unchanged
GN_4ABUTtm,0.0866954888241552,Downregulated
GN_ABTArm,0.0866954888241552,Downregulated
GN_ABUTt2rL,0.0460404348555966,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,3.51952777157709e-07,Unchanged
GN_ACGALK,0.0800257983764152,Downregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,0.0118285740997225,Downregulated
GN_ARACHDFATPtc,1.09301389836731e-07,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.0800640791542953,Downregulated
GN_BPNT,0.0118285743763564,Downregulated
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,5.40585966786533e-05,Unchanged
GN_C226CPT2,5.4058587870676e-05,Unchanged
GN_CERT2rt,2.50445048604303e-08,Unchanged
GN_CHSTEROLt,0.00493089179982038,Unchanged
GN_CKc,0.00809718276307195,Unchanged
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.00660082540152356,Unchanged
GN_DDCAte,3.00278975701289e-05,Unchanged
GN_DESAT18_4,3.23663690760154e-05,Unchanged
GN_DESAT18_7,0.000478037828384434,Unchanged
GN_DM_pcreat[c],0.00809718276307195,Unchanged
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,0,Unchanged
GN_FACOAL204,1.0930138598025e-07,Unchanged
GN_FAEL183,1.27305018959618e-07,Unchanged
GN_FAEL205,1.53287314438325e-07,Unchanged
GN_FAOXC101x,0.215699198518474,Downregulated
GN_FAOXC185C164m,0.00132100527482074,Unchanged
GN_FAOXC185m,0.00132100527482074,Unchanged
GN_FAOXC205C185m,0.00132100527482074,Unchanged
GN_FAOXC226C205m,0.00132100527482074,Unchanged
GN_FAOXC226C227m,0.00132100527482074,Unchanged
GN_FAOXC226m,0.00132100527482074,Unchanged
GN_FAOXC227C226m,0.00132100527482074,Unchanged
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.0156086891517376,Downregulated
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.0128175987933458,Downregulated
GN_GALNTg,0.0128175987933458,Downregulated
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,962712.051003016,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
GN_GLXO1,NaN,Unchanged
GN_GSNt2r,2.27446061404215,Upregulated
GN_HACD9m,NaN,Unchanged
GN_HEXCCOAtx,3.5195277715771e-07,Unchanged
GN_HMR_0261,0.000687161386460859,Unchanged
GN_HMR_0267,1.7682034883384e-07,Unchanged
GN_HMR_0317,0.0231652961958785,Downregulated
GN_HMR_0815,0.160128198091766,Downregulated
GN_HMR_0816,0.397842197952083,Downregulated
GN_HMR_0835,0.0800640791542953,Downregulated
GN_HMR_0836,0.0800640791542953,Downregulated
GN_HMR_1305,NaN,Unchanged
GN_HMR_1307,NaN,Unchanged
GN_HMR_2211,3.51952777157709e-07,Unchanged
GN_HMR_2215,3.51952777157709e-07,Unchanged
GN_HMR_2217,3.51952777157709e-07,Unchanged
GN_HMR_2218,3.51952777157709e-07,Unchanged
GN_HMR_2219,3.51952777157709e-07,Unchanged
GN_HMR_2374,3.91757394734451e-07,Unchanged
GN_HMR_2376,3.91757394734451e-07,Unchanged
GN_HMR_2704,0,Unchanged
GN_HMR_2744,386723.470661091,Upregulated
GN_HMR_2753,10330.1048495974,Upregulated
GN_HMR_2760,10330.1049169463,Upregulated
GN_HMR_2817,1.21659398614064e-14,Unchanged
GN_HMR_3057,3.51952777157709e-07,Unchanged
GN_HMR_3058,3.51952777157709e-07,Unchanged
GN_HMR_3059,3.51952777157709e-07,Unchanged
GN_HMR_3062,3.51952777157709e-07,Unchanged
GN_HMR_3063,3.51952777157709e-07,Unchanged
GN_HMR_3064,3.51952777157709e-07,Unchanged
GN_HMR_3065,3.51952777157709e-07,Unchanged
GN_HMR_3066,3.51952777157709e-07,Unchanged
GN_HMR_3067,3.51952777157709e-07,Unchanged
GN_HMR_3068,3.51952777157709e-07,Unchanged
GN_HMR_3069,3.51952777157709e-07,Unchanged
GN_HMR_3070,3.51952777157709e-07,Unchanged
GN_HMR_3071,3.51952777157709e-07,Unchanged
GN_HMR_3072,3.51952777157709e-07,Unchanged
GN_HMR_3073,3.51952777157709e-07,Unchanged
GN_HMR_3107,0,Unchanged
GN_HMR_3108,0,Unchanged
GN_HMR_3109,0,Unchanged
GN_HMR_3110,0,Unchanged
GN_HMR_3111,0,Unchanged
GN_HMR_3112,0,Unchanged
GN_HMR_3113,0,Unchanged
GN_HMR_3114,0,Unchanged
GN_HMR_3115,0,Unchanged
GN_HMR_3116,0,Unchanged
GN_HMR_3117,0,Unchanged
GN_HMR_3118,0,Unchanged
GN_HMR_3322,0.215699198518474,Downregulated
GN_HMR_7703,NaN,Unchanged
GN_LINKDEG4ly,NaN,Unchanged
GN_LNELDCCPT1,0.000935737380791818,Unchanged
GN_LNLNCGCRNt,9737.66515457126,Upregulated
GN_MLTHFtm,NaN,Unchanged
GN_NACHEXA7ly,NaN,Unchanged
GN_NACHEXA8ly,NaN,Unchanged
GN_NAGA2ly,0.0128175987933458,Downregulated
GN_NAGLCAly,0.0128175987933458,Downregulated
GN_NEU11l,0.0800640791542953,Downregulated
GN_O2Stm,0.00660730167631247,Unchanged
GN_OCT11EFATP,0.000687161386460859,Unchanged
GN_OLEICFATPtc,0.00639803018529323,Unchanged
GN_PAPStg,0.0118285740996605,Downregulated
GN_PAPtg,0.0118285743763564,Downregulated
GN_PGS,NaN,Unchanged
GN_PGSr,NaN,Unchanged
GN_PUNP4,9439.14777461292,Upregulated
GN_RE0574C,3.5195277715771e-07,Unchanged
GN_RE0575C,3.5195277715771e-07,Unchanged
GN_RE0576C,3.5195277715771e-07,Unchanged
GN_RE0578C,0.0250967280004526,Downregulated
GN_RE1342C,3.09099221129132e-05,Unchanged
GN_RE1518X,0.215686769762727,Downregulated
GN_RE1520X,0.215699198518474,Downregulated
GN_RE1521X,0.2156867697529,Downregulated
GN_RE1522X,0.2156867697529,Downregulated
GN_RE1525X,0.215699198518474,Downregulated
GN_RE1526X,0.2156867697529,Downregulated
GN_RE1527X,0.2156867697529,Downregulated
GN_RE1532X,0.2156867697529,Downregulated
GN_RE1533X,0.2156867697529,Downregulated
GN_RE1534X,0.215699198518474,Downregulated
GN_RE1573X,0.2156867697529,Downregulated
GN_RE1796R,2544981.32113787,Upregulated
GN_RE2069C,NaN,Unchanged
GN_RE2954C,0.0200634459041762,Downregulated
GN_RE3103C,3.91757394734451e-07,Unchanged
GN_RE3104C,3.91757394734451e-07,Unchanged
GN_RE3119C,8.18608658847578e-07,Unchanged
GN_RE3120C,8.18608658847577e-07,Unchanged
GN_RE3121C,8.18608658847578e-07,Unchanged
GN_RE3122C,8.18608658847578e-07,Unchanged
GN_SADT,0.0118285740997225,Downregulated
GN_SO4tl,0.0118285745538346,Downregulated
GN_SPHMYLN_HsATPte,0.0112932782774181,Downregulated
GN_TAURtcx,0.708794971600844,Unchanged
GN_THCHOLSTOICt,276605.603122849,Upregulated
GN_THMDt2r,1561102.80490731,Upregulated
GN_UAGALDP,0.0800257983764152,Downregulated
GN_UDPGALtg,0.00633947724611332,Unchanged
GN_UGALNACtg,0.0128176004342692,Downregulated
GN_XOL7AH3t,138303.017078752,Upregulated
GN_pac,NaN,Unchanged
GN_r0178,0.0866954888241552,Downregulated
GN_r0394,42.336624142895,Upregulated
GN_r0409,1.00129775348725,Unchanged
GN_r0431,0.00137720129232656,Unchanged
GN_r0432,0.00137720129232896,Unchanged
GN_r0444,3.49674206790007e-08,Unchanged
GN_r0610,6.36410223074275e-07,Unchanged
GN_r0611,6.36410223074275e-07,Unchanged
GN_r1000,3.49674206790007e-08,Unchanged
GN_r1005,0.00137720129232896,Unchanged
GN_r1253,0,Unchanged
GN_r1364,0.0159066899748664,Downregulated
GN_r1365,0.0159066899748664,Downregulated
GN_r1487,3.49674206790007e-08,Unchanged
GN_r2145,0.5,Downregulated
GN_r2329,NaN,Unchanged
GN_r2502,0.215699241307041,Downregulated
GN_r2503,0.00516835318461446,Unchanged
GN_r2514,3.49674206790007e-08,Unchanged
GN_sink_4abut[l],0.0460404348555966,Downregulated
GN_sink_dhcholestanate[c],94675.2967732211,Upregulated
GN_sink_lnlncacoa[c],2.36733547646997e-07,Unchanged
GN_sink_phe_L[c],68419240.5471342,Upregulated
GN_sink_ser_L[c],45685.9042807417,Upregulated
OO_3SALATAi,NaN,Unchanged
OO_3SALATAim,NaN,Unchanged
OO_3SPYRSP,NaN,Unchanged
OO_3SPYRSPm,NaN,Unchanged
OO_ACACT6p,0.0445513403398402,Downregulated
OO_ACACT7p,0.0445513403398402,Downregulated
OO_ACALDt,1.37574143434299e-05,Unchanged
OO_ACGAM2E,NaN,Unchanged
OO_ALOX15,NaN,Unchanged
OO_BDHm,0.204491569460678,Downregulated
OO_BETBGTtc,0.262931146482006,Downregulated
OO_BHBtm,0.204491569460678,Downregulated
OO_BHMT,0.108771630158063,Downregulated
OO_C05769te2,NaN,Unchanged
OO_C40CPT1,NaN,Unchanged
OO_C4tcx,0.660572845627152,Unchanged
OO_C4x,0.660572845627152,Unchanged
OO_CSAPASEly,0.048937876764662,Downregulated
OO_CSCPASEly,0.0489378743523796,Downregulated
OO_CSPG_Atly,0.048937876764662,Downregulated
OO_CSPG_Ctly,0.0489378743523796,Downregulated
OO_CYSTA,NaN,Unchanged
OO_DCK1n,6.53640237210348e-06,Unchanged
OO_DCT,9.91284592110124e-07,Unchanged
OO_DGSNt,1.36469072864046,Unchanged
OO_DIGALSIDEtl,0.115305640703364,Downregulated
