commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
EN_r0224,3.56115631295055,Upregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,943.093485654331,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],8.48333645260411e-06,Unchanged
EN_sink_gln_L[c],0.00945248294622681,Unchanged
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],0.000437105728443294,Unchanged
GN_2OBUTt,5.81683341717962e-05,Unchanged
GN_4ABUTtm,0.732913058693889,Unchanged
GN_ABTArm,0.732913058693889,Unchanged
GN_ABUTt2rL,0.396736675615112,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,3.08569224285993e-06,Unchanged
GN_ACGALK,0.689826389946866,Unchanged
GN_ACMPthc,0,Unchanged
GN_ADSK,0.10224235246534,Downregulated
GN_ARACHDFATPtc,9.46043539479911e-07,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.689826397352204,Unchanged
GN_BPNT,0.102242352038143,Downregulated
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,0.000473470310626645,Unchanged
GN_C226CPT2,0.000473470311801042,Unchanged
GN_CERT2rt,2.16199846796564e-07,Unchanged
GN_CHSTEROLt,0.0425803985068901,Downregulated
GN_CKc,0.0699457684292736,Downregulated
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.0489461577477294,Downregulated
GN_DDCAte,0.000207369889475804,Unchanged
GN_DESAT18_4,0.000283525548604204,Unchanged
GN_DESAT18_7,0.00418955760602301,Unchanged
GN_DM_pcreat[c],0.0699457684292736,Downregulated
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,7.92725973341885e-07,Unchanged
GN_FACOAL204,9.46043542621119e-07,Unchanged
GN_FAEL183,1.11258933058605e-06,Unchanged
GN_FAEL205,1.34152593013552e-06,Unchanged
GN_FAOXC101x,1.92829419047336,Unchanged
GN_FAOXC185C164m,0.0115699799567745,Downregulated
GN_FAOXC185m,0.0115699799567745,Downregulated
GN_FAOXC205C185m,0.0115699799567745,Downregulated
GN_FAOXC226C205m,0.0115699799567745,Downregulated
GN_FAOXC226C227m,0.0115699799567745,Downregulated
GN_FAOXC226m,0.0115699799567745,Downregulated
GN_FAOXC227C226m,0.0115699799567745,Downregulated
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.135583605231066,Downregulated
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.110428029820328,Downregulated
GN_GALNTg,0.110428029820328,Downregulated
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,772537.266569731,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
GN_GLXO1,NaN,Unchanged
GN_GSNt2r,2.27446061404215,Upregulated
GN_HACD9m,NaN,Unchanged
GN_HEXCCOAtx,3.08569224208213e-06,Unchanged
GN_HMR_0261,0.00600035541368741,Unchanged
GN_HMR_0267,1.52578660860527e-06,Unchanged
GN_HMR_0317,0.200042455142554,Downregulated
GN_HMR_0815,1.37965278045653,Unchanged
GN_HMR_0816,3.41692142683101,Upregulated
GN_HMR_0835,0.689826397352204,Unchanged
GN_HMR_0836,0.689826397352204,Unchanged
GN_HMR_1305,NaN,Unchanged
GN_HMR_1307,NaN,Unchanged
GN_HMR_2211,3.08569224285993e-06,Unchanged
GN_HMR_2215,3.08569224285993e-06,Unchanged
GN_HMR_2217,3.08569224285993e-06,Unchanged
GN_HMR_2218,3.08569224285993e-06,Unchanged
GN_HMR_2219,3.08569224285993e-06,Unchanged
GN_HMR_2374,3.40449486473396e-06,Unchanged
GN_HMR_2376,3.40449486473396e-06,Unchanged
GN_HMR_2704,0,Unchanged
GN_HMR_2744,386723.470661091,Upregulated
GN_HMR_2753,10330.1048495974,Upregulated
GN_HMR_2760,10330.1049169463,Upregulated
GN_HMR_2817,0,Unchanged
GN_HMR_3057,3.08569224285993e-06,Unchanged
GN_HMR_3058,3.08569224285993e-06,Unchanged
GN_HMR_3059,3.08569224285993e-06,Unchanged
GN_HMR_3062,3.08569224285993e-06,Unchanged
GN_HMR_3063,3.08569224285993e-06,Unchanged
GN_HMR_3064,3.08569224285993e-06,Unchanged
GN_HMR_3065,3.08569224285993e-06,Unchanged
GN_HMR_3066,3.08569224285993e-06,Unchanged
GN_HMR_3067,3.08569224285993e-06,Unchanged
GN_HMR_3068,3.08569224285993e-06,Unchanged
GN_HMR_3069,3.08569224285993e-06,Unchanged
GN_HMR_3070,3.08569224285993e-06,Unchanged
GN_HMR_3071,3.08569224285993e-06,Unchanged
GN_HMR_3072,3.08569224285993e-06,Unchanged
GN_HMR_3073,3.08569224285993e-06,Unchanged
GN_HMR_3107,0,Unchanged
GN_HMR_3108,0,Unchanged
GN_HMR_3109,0,Unchanged
GN_HMR_3110,0,Unchanged
GN_HMR_3111,0,Unchanged
GN_HMR_3112,0,Unchanged
GN_HMR_3113,0,Unchanged
GN_HMR_3114,0,Unchanged
GN_HMR_3115,0,Unchanged
GN_HMR_3116,0,Unchanged
GN_HMR_3117,0,Unchanged
GN_HMR_3118,0,Unchanged
GN_HMR_3322,1.92829419047336,Unchanged
GN_HMR_7703,NaN,Unchanged
GN_LINKDEG4ly,NaN,Unchanged
GN_LNELDCCPT1,0.0081944740102613,Unchanged
GN_LNLNCGCRNt,9737.66515457126,Upregulated
GN_MLTHFtm,NaN,Unchanged
GN_NACHEXA7ly,NaN,Unchanged
GN_NACHEXA8ly,NaN,Unchanged
GN_NAGA2ly,0.110428029820328,Downregulated
GN_NAGLCAly,0.110428029820328,Downregulated
GN_NEU11l,0.689826397352204,Unchanged
GN_O2Stm,0.0489461557460509,Downregulated
GN_OCT11EFATP,0.00600035541368741,Unchanged
GN_OLEICFATPtc,0.0554093445774053,Downregulated
GN_PAPStg,0.102242352481838,Downregulated
GN_PAPtg,0.102242352038143,Downregulated
GN_PGS,NaN,Unchanged
GN_PGSr,NaN,Unchanged
GN_PUNP4,8214.22912186163,Upregulated
GN_RE0574C,3.08569224208213e-06,Unchanged
GN_RE0575C,3.08569224208213e-06,Unchanged
GN_RE0576C,3.08569224208213e-06,Unchanged
GN_RE0578C,0.220536183858875,Downregulated
GN_RE1342C,0.000181034239953712,Unchanged
GN_RE1518X,1.92829419047336,Unchanged
GN_RE1520X,1.92829419047041,Unchanged
GN_RE1521X,1.92829419047041,Unchanged
GN_RE1522X,1.92829419047041,Unchanged
GN_RE1525X,1.92829419047041,Unchanged
GN_RE1526X,1.92829419047041,Unchanged
GN_RE1527X,1.92829419047041,Unchanged
GN_RE1532X,1.92829419047041,Unchanged
GN_RE1533X,1.92829419047041,Unchanged
GN_RE1534X,1.92829419047041,Unchanged
GN_RE1573X,1.92829419047041,Unchanged
GN_RE1796R,2544981.32113787,Upregulated
GN_RE2069C,NaN,Unchanged
GN_RE2954C,0.170816622380603,Downregulated
GN_RE3103C,3.40449486473396e-06,Unchanged
GN_RE3104C,3.40449486438005e-06,Unchanged
GN_RE3119C,7.12530248180021e-06,Unchanged
GN_RE3120C,7.1253024818002e-06,Unchanged
GN_RE3121C,7.12530248180021e-06,Unchanged
GN_RE3122C,7.12530248180021e-06,Unchanged
GN_SADT,0.10224235246534,Downregulated
GN_SO4tl,0.102242351879327,Downregulated
