commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
EN_r0224,0.179896228196355,Downregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,54.7276574174183,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],4.46001199816801e-07,Unchanged
EN_sink_gln_L[c],0.00078106802295553,Unchanged
EN_sink_pro_L[c],3154790625.34705,Upregulated
EN_sink_xol7aone[c],2.53741514919074e-05,Unchanged
GN_2OBUTt,5.52579085274374e-06,Unchanged
GN_4ABUTtm,0.0528867658583422,Downregulated
GN_ABTArm,0.0528867658583422,Downregulated
GN_ABUTt2rL,0.022892455704022,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,1.59396475488242e-07,Unchanged
GN_ACGALK,0.0398783204403425,Downregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,0.0058331195064159,Unchanged
GN_ARACHDFATPtc,5.21759649040719e-08,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.0398783334734984,Downregulated
GN_BPNT,0.00583312367920595,Unchanged
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,2.45564439657366e-05,Unchanged
GN_C226CPT2,2.45564403375312e-05,Unchanged
GN_CERT2rt,1.22136023648102e-08,Unchanged
GN_CHSTEROLt,0.00245945848155931,Unchanged
GN_CKc,0.00411892528978969,Unchanged
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.0177620708037284,Downregulated
GN_DDCAte,4.93044638974057e-05,Unchanged
GN_DESAT18_4,1.47478730982952e-05,Unchanged
GN_DESAT18_7,0.000217924078581271,Unchanged
GN_DM_pcreat[c],0.00411892528978969,Unchanged
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,4.46680500543226e-08,Unchanged
GN_FACOAL204,5.21759256842404e-08,Unchanged
GN_FAEL183,5.85229192349102e-08,Unchanged
GN_FAEL205,6.98913906163476e-08,Unchanged
GN_FAOXC101x,0.414711708466839,Downregulated
GN_FAOXC185C164m,0.000600074630771019,Unchanged
GN_FAOXC185m,0.000600074630771019,Unchanged
GN_FAOXC205C185m,0.000600074630771019,Unchanged
GN_FAOXC226C205m,0.000600074630771019,Unchanged
GN_FAOXC226C227m,0.000600074630771019,Unchanged
GN_FAOXC226m,0.000600074630771019,Unchanged
GN_FAOXC227C226m,0.000600074630771019,Unchanged
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.00756911448650652,Unchanged
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.0064157162329413,Unchanged
GN_GALNTg,0.0064157162329413,Unchanged
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,911445.820268687,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
