commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
EN_r0224,0.225215136229363,Downregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,57.667812557286,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],5.18735092218216e-07,Unchanged
EN_sink_gln_L[c],0.000577995729603249,Unchanged
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],2.67279340146121e-05,Unchanged
GN_2OBUTt,3.57607711384844e-06,Unchanged
GN_4ABUTtm,0.0445070802075156,Downregulated
GN_ABTArm,0.0445070802075156,Downregulated
GN_ABUTt2rL,0.0244815289480991,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,1.9293384740784e-07,Unchanged
GN_ACGALK,0.0425836682532743,Downregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,0.00632695447904053,Unchanged
GN_ARACHDFATPtc,5.87243905894151e-08,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.0425836688207803,Downregulated
GN_BPNT,0.00632695224888069,Unchanged
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,2.95841687614626e-05,Unchanged
GN_C226CPT2,2.9584165756792e-05,Unchanged
GN_CERT2rt,1.33476862276926e-08,Unchanged
GN_CHSTEROLt,0.00263131910949752,Unchanged
GN_CKc,0.00433303120114394,Unchanged
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.00339910092558494,Unchanged
GN_DDCAte,1.40061528951518e-05,Unchanged
GN_DESAT18_4,1.771202832086e-05,Unchanged
GN_DESAT18_7,0.000261724455570141,Unchanged
GN_DM_pcreat[c],0.00433303120114394,Unchanged
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,4.91414944757615e-08,Unchanged
GN_FACOAL204,5.87243998206872e-08,Unchanged
GN_FAEL183,6.94221098880954e-08,Unchanged
GN_FAEL205,8.3785074058695e-08,Unchanged
GN_FAOXC101x,0.13024069064377,Downregulated
GN_FAOXC185C164m,0.000722934883849714,Unchanged
GN_FAOXC185m,0.000722934883849714,Unchanged
GN_FAOXC205C185m,0.000722934883849714,Unchanged
GN_FAOXC226C205m,0.000722934883849714,Unchanged
GN_FAOXC226C227m,0.000722934883849714,Unchanged
GN_FAOXC226m,0.000722934883849714,Unchanged
GN_FAOXC227C226m,0.000722934883849714,Unchanged
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.0084173906829732,Unchanged
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.00681895674344468,Unchanged
GN_GALNTg,0.00681895674344468,Unchanged
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,753298.596558929,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
GN_GLXO1,NaN,Unchanged
GN_GSNt2r,2.27446061404215,Upregulated
GN_HACD9m,NaN,Unchanged
GN_HEXCCOAtx,1.92933846301494e-07,Unchanged
GN_HMR_0261,0.000374049765062538,Unchanged
GN_HMR_0267,9.43314681830446e-08,Unchanged
GN_HMR_0317,0.0123619190511305,Downregulated
GN_HMR_0815,0.085167385457497,Downregulated
GN_HMR_0816,0.210786014732639,Downregulated
GN_HMR_0835,0.0425836688207803,Downregulated
GN_HMR_0836,0.0425836688207803,Downregulated
GN_HMR_1305,NaN,Unchanged
GN_HMR_1307,NaN,Unchanged
GN_HMR_2211,1.9293384740784e-07,Unchanged
GN_HMR_2215,1.9293384740784e-07,Unchanged
GN_HMR_2217,1.9293384740784e-07,Unchanged
GN_HMR_2218,1.9293384740784e-07,Unchanged
GN_HMR_2219,1.9293384740784e-07,Unchanged
GN_HMR_2374,2.1169714352455e-07,Unchanged
GN_HMR_2376,2.1169714352455e-07,Unchanged
GN_HMR_2704,0,Unchanged
GN_HMR_2744,386723.470661091,Upregulated
GN_HMR_2753,10330.1048495974,Upregulated
GN_HMR_2760,10330.1049169463,Upregulated
GN_HMR_2817,0,Unchanged
GN_HMR_3057,1.9293384740784e-07,Unchanged
GN_HMR_3058,1.9293384740784e-07,Unchanged
GN_HMR_3059,1.9293384740784e-07,Unchanged
GN_HMR_3062,1.9293384740784e-07,Unchanged
GN_HMR_3063,1.9293384740784e-07,Unchanged
GN_HMR_3064,1.9293384740784e-07,Unchanged
GN_HMR_3065,1.9293384740784e-07,Unchanged
GN_HMR_3066,1.9293384740784e-07,Unchanged
GN_HMR_3067,1.9293384740784e-07,Unchanged
GN_HMR_3068,1.9293384740784e-07,Unchanged
GN_HMR_3069,1.9293384740784e-07,Unchanged
GN_HMR_3070,1.9293384740784e-07,Unchanged
GN_HMR_3071,1.9293384740784e-07,Unchanged
GN_HMR_3072,1.9293384740784e-07,Unchanged
GN_HMR_3073,1.9293384740784e-07,Unchanged
GN_HMR_3107,0,Unchanged
GN_HMR_3108,0,Unchanged
GN_HMR_3109,0,Unchanged
GN_HMR_3110,0,Unchanged
GN_HMR_3111,0,Unchanged
GN_HMR_3112,0,Unchanged
GN_HMR_3113,0,Unchanged
GN_HMR_3114,0,Unchanged
GN_HMR_3115,0,Unchanged
GN_HMR_3116,0,Unchanged
GN_HMR_3117,0,Unchanged
GN_HMR_3118,0,Unchanged
GN_HMR_3322,0.13024069064377,Downregulated
GN_HMR_7703,NaN,Unchanged
GN_LINKDEG4ly,NaN,Unchanged
GN_LNELDCCPT1,0.000511636349586856,Unchanged
GN_LNLNCGCRNt,9737.66515457126,Upregulated
GN_MLTHFtm,NaN,Unchanged
GN_NACHEXA7ly,NaN,Unchanged
GN_NACHEXA8ly,NaN,Unchanged
GN_NAGA2ly,0.00681895674344468,Unchanged
GN_NAGLCAly,0.00681895674344468,Unchanged
GN_NEU11l,0.0425836688207803,Downregulated
GN_O2Stm,0.00339910072024461,Unchanged
GN_OCT11EFATP,0.000374049765062538,Unchanged
GN_OLEICFATPtc,0.0034351972468535,Unchanged
GN_PAPStg,0.00632695449723208,Unchanged
GN_PAPtg,0.00632695224888069,Unchanged
GN_PGS,NaN,Unchanged
GN_PGSr,NaN,Unchanged
GN_PUNP4,7921.24387761086,Upregulated
GN_RE0574C,1.92933846301494e-07,Unchanged
GN_RE0575C,1.92933846301494e-07,Unchanged
GN_RE0576C,1.92933846301494e-07,Unchanged
GN_RE0578C,0.0138121909888682,Downregulated
GN_RE1342C,1.26954111810451,Unchanged
GN_RE1518X,0.13024069064377,Downregulated
GN_RE1520X,0.130240690626082,Downregulated
GN_RE1521X,0.130240690626082,Downregulated
GN_RE1522X,0.130240690626082,Downregulated
GN_RE1525X,0.130240690626082,Downregulated
GN_RE1526X,0.130240690626082,Downregulated
GN_RE1527X,0.130240690626082,Downregulated
GN_RE1532X,0.130240690626082,Downregulated
GN_RE1533X,0.130240690626082,Downregulated
GN_RE1534X,0.130240690626082,Downregulated
GN_RE1573X,0.130240690626082,Downregulated
GN_RE1796R,2544981.32113787,Upregulated
GN_RE2069C,NaN,Unchanged
GN_RE2954C,0.0107364040939693,Downregulated
GN_RE3103C,2.1169714352455e-07,Unchanged
GN_RE3104C,2.1169714352455e-07,Unchanged
GN_RE3119C,4.43576331462688e-07,Unchanged
GN_RE3120C,4.43576331462688e-07,Unchanged
GN_RE3121C,4.43576331462688e-07,Unchanged
GN_RE3122C,4.43576331462688e-07,Unchanged
GN_SADT,0.00632695447904053,Unchanged
GN_SO4tl,0.00632695467741409,Unchanged
GN_SPHMYLN_HsATPte,0.00602028325719265,Unchanged
GN_TAURtcx,0.708794971600844,Unchanged
GN_THCHOLSTOICt,276605.603122849,Upregulated
GN_THMDt2r,1561102.80490731,Upregulated
