commonRxns,FSR_BASE_PCOPT,Status_BASE_PCOPT
EN_r0224,3.51080694417101,Upregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,892.764321652397,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],8.03061434656253e-06,Unchanged
EN_sink_gln_L[c],0.00894804119222957,Unchanged
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],0.000413779124454215,Unchanged
GN_2OBUTt,5.54232837901054e-05,Unchanged
GN_4ABUTtm,0.688067124122792,Unchanged
GN_ABTArm,0.688067124122792,Unchanged
GN_ABUTt2rL,0.379701773822708,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,3.00044304917191e-06,Unchanged
GN_ACGALK,0.660512754749438,Unchanged
GN_ACMPthc,0,Unchanged
GN_ADSK,0.0981858251956506,Downregulated
GN_ARACHDFATPtc,9.12012053094968e-07,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.660512742138662,Unchanged
GN_BPNT,0.0981858257894175,Downregulated
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,0.000460019871024375,Unchanged
GN_C226CPT2,0.000460019873960367,Unchanged
GN_CERT2rt,2.07039715616353e-07,Unchanged
GN_CHSTEROLt,0.0408230390627633,Downregulated
GN_CKc,0.0672509175715101,Downregulated
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.0481912019350963,Downregulated
GN_DDCAte,0.000196965460487367,Unchanged
GN_DESAT18_4,0.000275401861761473,Unchanged
GN_DESAT18_7,0.00406951675729782,Unchanged
GN_DM_pcreat[c],0.0672509175715101,Downregulated
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,7.62883349504107e-07,Unchanged
GN_FACOAL204,9.12012062124652e-07,Unchanged
GN_FAEL183,1.07917189229016e-06,Unchanged
GN_FAEL205,1.30269484790358e-06,Unchanged
GN_FAOXC101x,1.8315453885665,Unchanged
GN_FAOXC185C164m,0.0112412976817335,Downregulated
GN_FAOXC185m,0.0112412976817335,Downregulated
GN_FAOXC205C185m,0.0112412976817335,Downregulated
GN_FAOXC226C205m,0.0112412976817335,Downregulated
GN_FAOXC226C227m,0.0112412976817335,Downregulated
GN_FAOXC226m,0.0112412976817335,Downregulated
GN_FAOXC227C226m,0.0112412976817335,Downregulated
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.130713536426915,Downregulated
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.105775132943807,Downregulated
GN_GALNTg,0.105775132943807,Downregulated
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,1025543.70796101,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
GN_GLXO1,NaN,Unchanged
GN_GSNt2r,2.27446061404215,Upregulated
GN_HACD9m,NaN,Unchanged
GN_HEXCCOAtx,3.00044304917192e-06,Unchanged
GN_HMR_0261,0.00581349542708218,Unchanged
GN_HMR_0267,1.46362195148337e-06,Unchanged
GN_HMR_0317,0.191786392397554,Downregulated
GN_HMR_0815,1.32102547842574,Unchanged
GN_HMR_0816,3.2690343712165,Upregulated
GN_HMR_0835,0.660512742138662,Unchanged
GN_HMR_0836,0.660512742138662,Unchanged
GN_HMR_1305,NaN,Unchanged
GN_HMR_1307,NaN,Unchanged
GN_HMR_2211,3.00044304917191e-06,Unchanged
GN_HMR_2215,3.00044304917191e-06,Unchanged
GN_HMR_2217,3.00044304917191e-06,Unchanged
GN_HMR_2218,3.00044304917191e-06,Unchanged
GN_HMR_2219,3.00044304917191e-06,Unchanged
