commonRxns,FSR_BASE_PC,Status_BASE_PC
EN_r0224,0.401487594765575,Downregulated
EN_r0726,0,Unchanged
EN_r0743,NaN,Unchanged
EN_r1298,108.250657932263,Upregulated
EN_r1645,2,Upregulated
EN_r1664,NaN,Unchanged
EN_sink_gchola[c],9.73738872864869e-07,Unchanged
EN_sink_gln_L[c],0.00108498081092013,Unchanged
EN_sink_pro_L[c],3195890665.14698,Upregulated
EN_sink_xol7aone[c],5.01721000682286e-05,Unchanged
GN_2OBUTt,7.19514624521622e-06,Unchanged
GN_4ABUTtm,0.0859304533480956,Downregulated
GN_ABTArm,0.0859304533480956,Downregulated
GN_ABUTt2rL,0.0456123182831633,Downregulated
GN_ACACT10m,NaN,Unchanged
GN_ACACT9p,3.48680094111157e-07,Unchanged
GN_ACGALK,0.0793196063679862,Downregulated
GN_ACMPthc,0,Unchanged
GN_ADSK,0.0117185852131112,Downregulated
GN_ARACHDFATPtc,1.08285041287619e-07,Unchanged
GN_ARACHDtr,NaN,Unchanged
GN_BGAL1l,0.0793196002255419,Downregulated
GN_BPNT,0.0117185859732776,Downregulated
GN_C204CRNt,10330.1048904265,Upregulated
GN_C226CPT1,5.35559218903659e-05,Unchanged
GN_C226CPT2,5.35559227718994e-05,Unchanged
GN_CERT2rt,2.48116268543886e-08,Unchanged
GN_CHSTEROLt,0.00488504158334144,Unchanged
GN_CKc,0.00802189133223523,Unchanged
GN_CLPNDCRNt,173304.552878913,Upregulated
GN_CSEPASEly,NaN,Unchanged
GN_CSPG_Etly,NaN,Unchanged
GN_CYOOm3i,0.00655603968404796,Unchanged
GN_DDCAte,2.98374006808043e-05,Unchanged
GN_DESAT18_4,3.20654082068873e-05,Unchanged
GN_DESAT18_7,0.000473819267142627,Unchanged
GN_DM_pcreat[c],0.00802189133223523,Unchanged
GN_DURIPP,NaN,Unchanged
GN_D_LACt2,NaN,Unchanged
GN_ECOAH9m,NaN,Unchanged
GN_EICOSTETCRNt,162974.447111131,Upregulated
GN_FACOAL170,0,Unchanged
GN_FACOAL204,1.08285033852491e-07,Unchanged
GN_FAEL183,1.26121274277636e-07,Unchanged
GN_FAEL205,1.51861949731158e-07,Unchanged
GN_FAOXC101x,0.21431818282526,Downregulated
GN_FAOXC185C164m,0.00130872187260101,Unchanged
GN_FAOXC185m,0.00130872187260101,Unchanged
GN_FAOXC205C185m,0.00130872187260101,Unchanged
GN_FAOXC226C205m,0.00130872187260101,Unchanged
GN_FAOXC226C227m,0.00130872187260101,Unchanged
GN_FAOXC226m,0.00130872187260101,Unchanged
GN_FAOXC227C226m,0.00130872187260101,Unchanged
GN_FAOXC5C5OHm,NaN,Unchanged
GN_FATP3t,0.0154635489788068,Downregulated
GN_FORt2m,NaN,Unchanged
GN_GALASE19ly,0.0126984141088205,Downregulated
GN_GALNTg,0.0126984141088205,Downregulated
GN_GALSIDEtl,NaN,Unchanged
GN_GHMT2r,962711.990514234,Upregulated
GN_GLCAASE7ly,NaN,Unchanged
GN_GLXO1,NaN,Unchanged
GN_GSNt2r,2.27446061404215,Upregulated
GN_HACD9m,NaN,Unchanged
GN_HEXCCOAtx,3.48680094111158e-07,Unchanged
GN_HMR_0261,0.000680655325989781,Unchanged
GN_HMR_0267,1.75176200898611e-07,Unchanged
GN_HMR_0317,0.0229498962942985,Downregulated
GN_HMR_0815,0.158639197202157,Downregulated
GN_HMR_0816,0.394142831698202,Downregulated
GN_HMR_0835,0.0793196002255419,Downregulated
GN_HMR_0836,0.0793196002255419,Downregulated
GN_HMR_1305,NaN,Unchanged
GN_HMR_1307,NaN,Unchanged
GN_HMR_2211,3.48680094111157e-07,Unchanged
GN_HMR_2215,3.48680094111157e-07,Unchanged
GN_HMR_2217,3.48680094111157e-07,Unchanged
GN_HMR_2218,3.48680094111157e-07,Unchanged
GN_HMR_2219,3.48680094111157e-07,Unchanged
GN_HMR_2374,3.88048213243955e-07,Unchanged
GN_HMR_2376,3.88048213243955e-07,Unchanged
GN_HMR_2704,0,Unchanged
GN_HMR_2744,386723.470661091,Upregulated
GN_HMR_2753,10330.1048495974,Upregulated
GN_HMR_2760,10330.1049169463,Upregulated
GN_HMR_2817,0,Unchanged
GN_HMR_3057,3.48680094111157e-07,Unchanged
GN_HMR_3058,3.48680094111157e-07,Unchanged
GN_HMR_3059,3.48680094111157e-07,Unchanged
GN_HMR_3062,3.48680094111157e-07,Unchanged
GN_HMR_3063,3.48680094111157e-07,Unchanged
GN_HMR_3064,3.48680094111157e-07,Unchanged
GN_HMR_3065,3.48680094111157e-07,Unchanged
GN_HMR_3066,3.48680094111157e-07,Unchanged
GN_HMR_3067,3.48680094111157e-07,Unchanged
GN_HMR_3068,3.48680094111157e-07,Unchanged
GN_HMR_3069,3.48680094111157e-07,Unchanged
GN_HMR_3070,3.48680094111157e-07,Unchanged
GN_HMR_3071,3.48680094111157e-07,Unchanged
GN_HMR_3072,3.48680094111157e-07,Unchanged
GN_HMR_3073,3.48680094111157e-07,Unchanged
GN_HMR_3107,0,Unchanged
GN_HMR_3108,0,Unchanged
GN_HMR_3109,0,Unchanged
GN_HMR_3110,0,Unchanged
GN_HMR_3111,0,Unchanged
GN_HMR_3112,0,Unchanged
GN_HMR_3113,0,Unchanged
GN_HMR_3114,0,Unchanged
GN_HMR_3115,0,Unchanged
GN_HMR_3116,0,Unchanged
GN_HMR_3117,0,Unchanged
GN_HMR_3118,0,Unchanged
GN_HMR_3322,0.21431818282526,Downregulated
GN_HMR_7703,NaN,Unchanged
GN_LINKDEG4ly,NaN,Unchanged
GN_LNELDCCPT1,0.000927479969302723,Unchanged
GN_LNLNCGCRNt,9737.66515457126,Upregulated
GN_MLTHFtm,NaN,Unchanged
GN_NACHEXA7ly,NaN,Unchanged
GN_NACHEXA8ly,NaN,Unchanged
GN_NAGA2ly,0.0126984141088205,Downregulated
GN_NAGLCAly,0.0126984141088205,Downregulated
GN_NEU11l,0.0793196002255419,Downregulated
GN_O2Stm,0.00655603921100576,Unchanged
GN_OCT11EFATP,0.000680655325989781,Unchanged
GN_OLEICFATPtc,0.0063385387676274,Unchanged
GN_PAPStg,0.0117185852130498,Downregulated
GN_PAPtg,0.0117185859732776,Downregulated
GN_PGS,NaN,Unchanged
GN_PGSr,NaN,Unchanged
GN_PUNP4,9439.14673987516,Upregulated
GN_RE0574C,3.48680094111158e-07,Unchanged
GN_RE0575C,3.48680094111158e-07,Unchanged
GN_RE0576C,3.48680094111158e-07,Unchanged
GN_RE0578C,0.0248633656896298,Downregulated
GN_RE1342C,3.07089507557276e-05,Unchanged
GN_RE1518X,0.21431818282526,Downregulated
GN_RE1520X,0.21431818282526,Downregulated
GN_RE1521X,0.21431818282526,Downregulated
GN_RE1522X,0.21431818282526,Downregulated
GN_RE1525X,0.21431818282526,Downregulated
GN_RE1526X,0.21431818282526,Downregulated
GN_RE1527X,0.21431818282526,Downregulated
GN_RE1532X,0.21431818282526,Downregulated
GN_RE1533X,0.21431818282526,Downregulated
GN_RE1534X,0.21431818282526,Downregulated
GN_RE1573X,0.21431818282526,Downregulated
GN_RE1796R,2544981.32113787,Upregulated
GN_RE2069C,NaN,Unchanged
GN_RE2954C,0.0199264725357769,Downregulated
GN_RE3103C,3.88048213243955e-07,Unchanged
GN_RE3104C,3.88048213243955e-07,Unchanged
GN_RE3119C,8.10996718947601e-07,Unchanged
GN_RE3120C,8.10996718947601e-07,Unchanged
GN_RE3121C,8.10996718947601e-07,Unchanged
GN_RE3122C,8.10996718947601e-07,Unchanged
GN_SADT,0.0117185852131112,Downregulated
GN_SO4tl,0.0117185851785024,Downregulated
GN_SPHMYLN_HsATPte,0.0111882676249502,Downregulated
GN_TAURtcx,0.708794971600844,Unchanged
GN_THCHOLSTOICt,276605.603122849,Upregulated
GN_THMDt2r,1561102.80490731,Upregulated
GN_UAGALDP,0.0793196063679862,Downregulated
GN_UDPGALtg,0.00628052955132949,Unchanged
GN_UGALNACtg,0.0126984138294355,Downregulated
GN_XOL7AH3t,138303.015770795,Upregulated
GN_pac,NaN,Unchanged
GN_r0178,0.0859304533480956,Downregulated
GN_r0394,42.3366230292031,Upregulated
GN_r0409,1.00129775116873,Unchanged
GN_r0431,0.0013649816295054,Unchanged
