commonRxns,FSR_BASE_PC,Status_BASE_PC
AD_r0392,0.331710045143208,Downregulated
AD_r0841,NaN,Unchanged
AD_r0899,NaN,Unchanged
AD_r1090,0.01,Downregulated
AD_r2436,867016.206291198,Upregulated
AD_sink_34dhpac[c],NaN,Unchanged
AD_sink_retfa[c],603.152662547376,Upregulated
EN_3DHCDCHOLt,1.00000053425743,Unchanged
EN_3DHCHOLt,1.00000053425741,Unchanged
EN_3DHDCAt,1.00000053425743,Unchanged
EN_3DHLCAt,1.00000053425743,Unchanged
EN_ABUTD,NaN,Unchanged
EN_ACONT,30.5653604891301,Upregulated
EN_ADPACDAc,0,Unchanged
EN_AHCYSte,NaN,Unchanged
EN_APRTO2,NaN,Unchanged
EN_BETALDHxm,0.0126438078575906,Downregulated
EN_C10DCc,0.600107620057555,Unchanged
EN_C30CPT1,5.58920209665997e-07,Unchanged
EN_C6DCc,0,Unchanged
EN_CDSm,3437.9013971843,Upregulated
EN_CHOLD2m,0.0126438078575906,Downregulated
EN_CYTK1m,3437.90300251266,Upregulated
EN_DALAt2r,NaN,Unchanged
EN_DOLGLCP_Lter,0.468440924687609,Downregulated
EN_FADH2tru,778001043.356648,Upregulated
EN_FADtru,778001022.915884,Upregulated
EN_FUM,30.5653604891387,Upregulated
EN_G6PPer,101.848535420462,Upregulated
EN_GLB1,3.38678904093058,Upregulated
EN_GLYBtm,0.0126438078576714,Downregulated
EN_GLYKm,3437.9013971843,Upregulated
EN_H2CO3D,275130033.051032,Upregulated
EN_HMR_0182,NaN,Unchanged
EN_HMR_0321,84.2356304186637,Upregulated
EN_HMR_0582,3437.9013971843,Upregulated
EN_HMR_0761,41.7345376686769,Upregulated
EN_HMR_0770,1.00000008488954,Unchanged
EN_HMR_0803,82.647528109269,Upregulated
EN_HMR_0847,2.91894768963263,Upregulated
EN_HMR_1565,2025.61846860615,Upregulated
EN_HMR_1766,424.599990123843,Upregulated
EN_HMR_1769,424.600008388454,Upregulated
EN_HMR_1771,424.600008388454,Upregulated
EN_HMR_4278,1.87215591694212e-07,Unchanged
EN_HMR_4696,0.0356811910028479,Downregulated
EN_HMR_6511,778000986.012479,Upregulated
EN_HMR_6572,213618499.069705,Upregulated
EN_HYOCHOLt,1.0000005342575,Unchanged
EN_LCAT10e,NaN,Unchanged
EN_LCAT11e,NaN,Unchanged
EN_LCAT15e,NaN,Unchanged
EN_LCAT23e,142.126837417432,Upregulated
EN_LCAT34e,NaN,Unchanged
